step,action_dit_loss,epoch,lab/drift,learning_rate/base,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,2.8864433765411377,0.0,0.0,8.333333333333334e-06,3.3333333333333333e-06,,0.0008100774139165878,2.643977495841682
20,2.4704880714416504,0.0,0.0,1.6666666666666667e-05,6.666666666666667e-06,,0.0015175435692071915,2.9681207947432995
30,2.495166778564453,0.0,0.0,2.5e-05,1e-05,,0.0007200874388217926,2.7972375033423305
40,1.9219783544540405,0.01,0.0,2.491886029290332e-05,9.967544117161327e-06,,0.0008205100893974304,2.804689700715244
50,2.1565051078796387,0.01,0.0,2.4676538446957887e-05,9.870615378783155e-06,0.028066056115286692,0.0011757155880331993,3.050058119930327
60,1.9283877611160278,0.01,0.03319965060993234,2.42763114494309e-05,9.710524579772362e-06,,0.001041501760482788,2.929179295897484
70,1.6967744827270508,0.01,0.03319965060993234,2.372359168388095e-05,9.48943667355238e-06,,0.0007641669362783432,2.534278375096619
80,1.8367669582366943,0.01,0.03319965060993234,2.302585373695524e-05,9.210341494782097e-06,,0.0009830454364418983,2.8711682092398405
90,1.6231579780578613,0.01,0.03319965060993234,2.2192533317427737e-05,8.877013326971095e-06,,0.0007262956351041794,3.0521643180400133
100,1.7824846506118774,0.02,0.03319965060993234,2.1234899654424807e-05,8.493959861769923e-06,0.017168456954615458,0.000997595489025116,3.1746823489665985
110,1.5513030290603638,0.02,0.04903611240571989,2.0165903100433436e-05,8.066361240173374e-06,,0.0008504725992679596,3.0569334411993623
120,1.5635584592819214,0.02,0.04903611240571989,1.9e-05,7.600000000000001e-06,,0.0014909589663147926,2.7635772759094834
130,1.5799052715301514,0.02,0.04903611240571989,1.7752957192469884e-05,7.101182876987953e-06,,0.0008642766624689102,2.6790272388607264
140,1.2265007495880127,0.02,0.04903611240571989,1.6441638792533085e-05,6.5766555170132344e-06,,0.000954020768404007,3.0507601844146848
150,1.6201708316802979,0.02,0.04903611240571989,1.5083778132003167e-05,6.033511252801267e-06,0.022731761847223555,0.000680580735206604,3.105786374770105
160,1.3815314769744873,0.02,0.06873941814690301,1.369773794692571e-05,5.479095178770284e-06,,0.0007145507261157036,2.786364904604852
170,1.7787442207336426,0.03,0.06873941814690301,1.230226205307429e-05,4.920904821229716e-06,,0.0008056722581386566,2.3775934372097254
180,1.5078952312469482,0.03,0.06873941814690301,1.0916221867996836e-05,4.366488747198735e-06,,0.0006165793165564537,2.788248499855399
190,1.3318783044815063,0.03,0.06873941814690301,9.55836120746692e-06,3.8233444829867685e-06,,0.0009197480976581573,2.629932064563036
200,1.3654109239578247,0.03,0.06873941814690301,8.247042807530116e-06,3.298817123012047e-06,0.01943866695676531,0.0005386983975768089,2.210657865740359
210,1.2876083850860596,0.03,0.0625305373324794,7.0000000000000024e-06,2.800000000000001e-06,,0.0010935552418231964,2.728229041211307
220,1.3322863578796387,0.03,0.0625305373324794,5.834096899566568e-06,2.3336387598266276e-06,,0.0008403286337852478,2.8058507684618235
230,1.4326305389404297,0.04,0.0625305373324794,4.765100345575197e-06,1.906040138230079e-06,,0.0009492076933383942,2.8793297735974193
240,1.3375250101089478,0.04,0.0625305373324794,3.8074666825722652e-06,1.5229866730289062e-06,,0.0006956355646252632,2.632540976628661
250,1.2824976444244385,0.04,0.0625305373324794,2.9741462630447647e-06,1.189658505217906e-06,0.016792595386505127,0.0007636165246367455,2.5370188392698765
260,1.2910430431365967,0.04,0.002704207184275479,2.276408316119054e-06,9.105633264476216e-07,,0.000523073598742485,2.481918379664421
270,1.286752462387085,0.04,0.002704207184275479,1.7236885505691001e-06,6.8947542022764e-07,,0.0009029461070895195,2.867802955210209
280,1.340285301208496,0.04,0.002704207184275479,1.3234615530421141e-06,5.293846212168457e-07,,0.0007201759144663811,2.343413457274437
290,1.0919666290283203,0.04,0.002704207184275479,1.0811397070966836e-06,4.3245588283867346e-07,,0.0005465680733323097,2.677899864502251
300,1.1960089206695557,0.05,0.002704207184275479,1e-06,4e-07,0.016757148717130934,0.0011022575199604034,2.6942384401336312
