step,action_dit_loss,epoch,lab/drift,learning_rate/action_model,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,0.7631419897079468,0.0,0.0,3.3333333333333335e-05,3.3333333333333333e-06,,0.0006977953016757965,2.4970024144276977
20,0.49988341331481934,0.0,0.0,6.666666666666667e-05,6.666666666666667e-06,,0.0011564604938030243,2.1523011308163404
30,0.6136612892150879,0.0,0.0,0.0001,1e-05,,0.0004755863919854164,2.3851186465471983
40,0.5642555356025696,0.01,0.0,9.967544117161328e-05,9.967544117161327e-06,,0.0007120203226804733,2.196780998259783
50,0.4293975830078125,0.01,0.0,9.870615378783155e-05,9.870615378783155e-06,0.020386576652526855,0.0005340138450264931,2.097701392136514
60,0.3766840994358063,0.01,0.05927059195933569,9.71052457977236e-05,9.710524579772362e-06,,0.0006903288885951042,2.178460743278265
70,0.2995215058326721,0.01,0.05927059195933569,9.48943667355238e-05,9.48943667355238e-06,,0.00046415161341428757,2.2237209379673004
80,0.35847046971321106,0.01,0.05927059195933569,9.210341494782096e-05,9.210341494782097e-06,,0.000898449681699276,1.9470437532290816
90,0.3096105754375458,0.01,0.05927059195933569,8.877013326971095e-05,8.877013326971095e-06,,0.0006772670894861221,1.9406665153801441
100,0.2988651394844055,0.02,0.05927059195933569,8.493959861769923e-05,8.493959861769923e-06,0.014474652707576752,0.000760294497013092,2.018426675349474
110,0.33743995428085327,0.02,0.011029100172771296,8.066361240173374e-05,8.066361240173374e-06,,0.01818149723112583,2.3028136817738414
120,0.2926185727119446,0.02,0.011029100172771296,7.6e-05,7.600000000000001e-06,,0.0008157910779118538,2.240038415417075
130,0.32702863216400146,0.02,0.011029100172771296,7.101182876987953e-05,7.101182876987953e-06,,0.0007747514173388481,2.209896015934646
140,0.25529640913009644,0.02,0.011029100172771296,6.576655517013234e-05,6.5766555170132344e-06,,0.0008299797773361206,1.9251880766823888
150,0.27146047353744507,0.02,0.011029100172771296,6.033511252801267e-05,6.033511252801267e-06,0.021091082266398838,0.0006185686215758324,2.04974025208503
160,0.2581167221069336,0.02,0.03630411324570765,5.479095178770284e-05,5.479095178770284e-06,,0.0007848599925637245,2.0380458999425173
170,0.35379746556282043,0.03,0.03630411324570765,4.920904821229716e-05,4.920904821229716e-06,,0.000731232576072216,2.248875758610666
180,0.3008700907230377,0.03,0.03630411324570765,4.3664887471987345e-05,4.366488747198735e-06,,0.000705246813595295,1.9499964145943522
190,0.20764021575450897,0.03,0.03630411324570765,3.823344482986768e-05,3.8233444829867685e-06,,0.0005451207980513573,2.1459226422011852
200,0.2651236057281494,0.03,0.03630411324570765,3.2988171230120465e-05,3.298817123012047e-06,0.018514967390469143,0.0007080342620611191,2.1759410677477717
210,0.26134151220321655,0.03,0.04259720021978408,2.800000000000001e-05,2.800000000000001e-06,,0.0007701804861426353,2.2842860063537955
220,0.22653600573539734,0.03,0.04259720021978408,2.3336387598266272e-05,2.3336387598266276e-06,,0.0008802525699138641,2.2471631141379476
230,0.24959585070610046,0.04,0.04259720021978408,1.906040138230079e-05,1.906040138230079e-06,,0.0005757864564657211,2.131398256868124
240,0.25495362281799316,0.04,0.04259720021978408,1.5229866730289061e-05,1.5229866730289062e-06,,0.0010628188028931618,2.18971099704504
250,0.2338048666715622,0.04,0.04259720021978408,1.1896585052179059e-05,1.189658505217906e-06,0.016372613608837128,0.0006636939942836761,2.0590647673234344
260,0.24465255439281464,0.04,0.008481333749376334,9.105633264476216e-06,9.105633264476216e-07,,0.0006586313247680664,2.0162093304097652
270,0.22853974997997284,0.04,0.008481333749376334,6.8947542022764005e-06,6.8947542022764e-07,,0.0007328260689973831,2.0427846973761916
280,0.25447946786880493,0.04,0.008481333749376334,5.293846212168457e-06,5.293846212168457e-07,,0.0006695892661809921,1.9526022709906101
290,0.2109568864107132,0.04,0.008481333749376334,4.324558828386734e-06,4.3245588283867346e-07,,0.0008293688297271729,2.127767663449049
300,0.21485111117362976,0.05,0.008481333749376334,4e-06,4e-07,0.015717942799840654,0.0007892036810517311,2.1024759905412793
