step,mean,max,max_layer,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,0.0,0.0,layer_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.03367327590984934,0.08753840770887356,layer_16,3.2332511112898032e-09,2.881412952682183e-08,8.693220288069625e-08,2.1843529196541311e-07,4.954582065730406e-07,1.0132818458741255e-06,2.295164634347202e-06,4.647057234574703e-06,7.12435215743934e-06,1.0207053358413098e-05,1.3045263686284336e-05,1.087276820399552e-05,7.75443934153408e-06,5.857447406776295e-06,4.970371845103294e-06,5.872505235315906e-06,0.08753840770887356,0.08342460334987367,0.08300153507274854,0.0819232879297237,0.0812762733124317,0.08146973183191764,0.0802932919117797,0.07981908322453135,0.07860494770834958,0.07809310943148895,0.07548694071030038,0.0732312529294682,0.06819091148951306,0.055948221443367974,0.044563199470208925,0.032725361966613464,0.02515161076892858,0.020588317961024782,0.0004597070354918076,0.0003736449199087666
50,0.007671888327674246,0.019605406518526935,layer_17,2.7066771046690974e-09,3.0840774489782063e-08,4.838471212575968e-08,1.50383520081121e-07,4.6845910373072286e-07,1.2122050917495741e-06,2.1180967474387913e-06,4.255216204507306e-06,8.26847710089229e-06,1.0030965466700792e-05,1.1942215508264908e-05,1.060365872374014e-05,7.114878410985348e-06,5.646591234920173e-06,4.731497075916025e-06,5.402599882353698e-06,0.018453177114466146,0.019605406518526935,0.019475483274457916,0.019106927238048188,0.01894540173103454,0.019143562695211447,0.018752179833127047,0.018566777413898672,0.018340909246346127,0.018093510097003218,0.017336459622304123,0.016586003670648553,0.015280448386028156,0.012223795403256799,0.00930716287329536,0.006608384896782615,0.00484730773439257,0.003897920598696758,0.0006292573043275018,0.0009158769681851808
75,0.01822904362746854,0.04702256546689643,layer_17,3.3072810046164136e-09,3.639291379364806e-08,1.0349886303551159e-07,2.2232679641742692e-07,5.722342120151325e-07,1.3115469718050221e-06,3.809341663441046e-06,5.211203055077718e-06,7.0799746481053916e-06,8.219388202501676e-06,1.2044693180834898e-05,8.329767164472202e-06,5.596723390732805e-06,4.746645807629513e-06,4.4633768772062155e-06,5.064657015219076e-06,0.04501893347371311,0.04702256546689643,0.046709150752659356,0.045717079388498005,0.04536891862547443,0.045486457889076126,0.04442161279006884,0.043835696301606886,0.04291834078396117,0.04265524335125159,0.04096726606394563,0.03919472786069056,0.03630938763366309,0.02826996444111829,0.02166808092859729,0.015258670369487026,0.011144105141032923,0.009308225648081092,0.00219506267258307,0.0027092659284192466
100,0.06605500489555281,0.17032692906357605,layer_17,3.85725951179694e-09,3.137332094116374e-08,6.91172719058386e-08,1.5935103314657084e-07,4.963641467847779e-07,1.1757053266503448e-06,2.2392563687745337e-06,3.201252839923896e-06,5.542435031258286e-06,6.188417997821105e-06,7.089541910532127e-06,7.935641261780368e-06,5.212947870369966e-06,4.807291920982948e-06,4.519078836251467e-06,4.954843778604001e-06,0.16927769614689536,0.17032692906357605,0.16939263184072728,0.1663026469998805,0.1649824381611914,0.1654468620534124,0.16233654386296004,0.1604279896288443,0.15734493484621526,0.156212893218435,0.14960968619465276,0.14302138401821007,0.1314088419519449,0.10135677995843617,0.0765829819659749,0.053449651868941905,0.03899227931100313,0.031625299859026956,0.004136863531730484,0.005691215281667272
125,0.023275243492513552,0.05802103828800498,layer_17,4.36610947396332e-09,5.362450794521578e-08,1.1475896999346702e-07,2.215700046770408e-07,5.859413847453254e-07,1.393557580997573e-06,2.389885934261926e-06,3.4008945442032257e-06,6.597985048761856e-06,7.338361192377185e-06,9.971921234197545e-06,8.66334539761926e-06,7.263238961940921e-06,5.961945162780147e-06,5.194620014248308e-06,6.011312962406201e-06,0.05790500301795132,0.05802103828800498,0.05769484438746275,0.05659139371429045,0.05619471331060488,0.056350848778720874,0.05515882617651979,0.05422199510449677,0.053629407344912616,0.053192965531104086,0.0510454304032274,0.049005304816492457,0.045809030101029324,0.03733064850589951,0.029361368394671072,0.021574821899977614,0.016956981663573845,0.014951218969488256,0.004533403024968075,0.008314354968081195
150,0.010878652965598408,0.02490093373600455,layer_17,4.00244104525882e-09,3.618287081064153e-08,7.007898039645966e-08,1.8625371367431143e-07,5.52195849490289e-07,1.3517632362347598e-06,2.404257250510078e-06,3.917767057326493e-06,6.370150670842456e-06,7.89978674087255e-06,8.356080690385959e-06,6.466707541119554e-06,6.14903793527688e-06,5.119707017997577e-06,5.261857211613652e-06,5.537812833411593e-06,0.02388911088617518,0.02490093373600455,0.024700085624230317,0.02418054582423146,0.024047338643549465,0.02407079983003213,0.023694946077009393,0.023629711332772696,0.023399092924947684,0.02363790641620278,0.023219960838701037,0.022515718520337957,0.021639254909103345,0.018940816435546237,0.015467725015193667,0.012692375667194722,0.011006409372823045,0.010234561214927274,0.004524563863678499,0.011179965986840235
175,0.005761556813936693,0.014061673211980485,layer_35,4.5639787504825335e-09,2.108491559127401e-08,7.708942584283562e-08,1.9241471060915671e-07,5.66667053836234e-07,1.3616206901989614e-06,3.3295889982909443e-06,5.568185262760927e-06,8.390997598195504e-06,1.1170726407772058e-05,1.4692749592870591e-05,1.2456718271436351e-05,7.338531836320605e-06,6.1587639563764895e-06,5.249126282302896e-06,6.144263088869728e-06,0.010225857911503433,0.010781936705757444,0.010689287955611193,0.01051608179223873,0.010447918126023414,0.010495765945574775,0.010330728378004972,0.010398130332221811,0.010531515235233435,0.010712794262818237,0.010895343391250423,0.010802559819956592,0.011064084490792103,0.01163561151653647,0.010415813271732355,0.009609300191541936,0.009045918787446317,0.008998345262384966,0.0056746556210418575,0.014061673211980485
200,0.005672913427840215,0.01635123658894877,layer_35,4.273191578363367e-09,3.274222226679058e-08,8.997521239173523e-08,2.1363908841998125e-07,7.669562367418337e-07,1.5352735374118964e-06,2.7327100393659265e-06,4.921599092488904e-06,7.07163983593162e-06,8.706809846548147e-06,1.0404386742823846e-05,8.12331059341087e-06,5.593553041083332e-06,4.881756066610343e-06,4.848194500306491e-06,5.564944286939877e-06,0.009434694716140668,0.010168535455986838,0.010073227361139248,0.009883020860918634,0.009834155908948872,0.009854370545277269,0.009680687577061864,0.009812731201654046,0.009886205324019293,0.010119403706324137,0.010438917426189964,0.01044010694528974,0.010910381662176283,0.011861575584727668,0.010804471222306433,0.010076015391154547,0.009479983643801981,0.009411680049516202,0.005637990467130982,0.01635123658894877
225,0.017300017963500766,0.04060847832784731,layer_17,4.331190184281297e-09,3.763593980909974e-08,9.436513026539473e-08,1.8778188448642652e-07,8.634009406316423e-07,2.2403709992735443e-06,2.5470985502984433e-06,3.9472684913999245e-06,6.418749728620554e-06,8.334678336607837e-06,9.729449547468683e-06,8.794107622889236e-06,6.753646732082785e-06,6.309193656850454e-06,6.946481910352631e-06,8.073097176874988e-06,0.03791998260312146,0.04060847832784731,0.040256024210693186,0.039464815058524394,0.03908970372413023,0.03912835069632581,0.038286061435660934,0.03763852740431439,0.0368502968711254,0.036786756986593505,0.03595465118253938,0.03500390864541447,0.03357281730684869,0.030235445508282943,0.02509221241218995,0.01991761721527363,0.01667098307190462,0.015249980170156219,0.005633694882397178,0.019369057314845728
250,0.07097876125937858,0.18177244787268498,layer_16,3.990116903551666e-09,2.8509572924662052e-08,7.536037605060386e-08,1.7610676872337194e-07,4.454541134846224e-07,1.0034445515616497e-06,2.0788649643943558e-06,3.712264885713523e-06,6.0467186012713725e-06,6.9670754032635784e-06,8.466882601032566e-06,8.248167388202887e-06,6.746767405862997e-06,5.529258305991824e-06,5.454660229942121e-06,6.352466480841201e-06,0.18177244787268498,0.18105341404370023,0.18016057477982228,0.17704445103456967,0.1757472551633793,0.17605533611304602,0.17318170783094755,0.17107489930555053,0.16722586214034874,0.16631054057527062,0.15917007474479605,0.15236280761898247,0.14045649233819557,0.10909408295823553,0.08265270460314178,0.05799518695780792,0.043465268539946034,0.036231135251112545,0.005630927304278721,0.018488900170046563
275,0.010142034497185466,0.021304329268509337,layer_17,4.332760261682722e-09,4.003495102100629e-08,1.0210452305869921e-07,2.7857297069111553e-07,5.747994199500894e-07,1.0890848206601689e-06,2.6233022213384416e-06,4.738803048409679e-06,7.501828935274624e-06,9.348080747151322e-06,1.2436826253070521e-05,1.1458483997861535e-05,7.880125459491794e-06,6.2153468662895506e-06,5.504697043079432e-06,6.34240447972001e-06,0.021231450982885258,0.021304329268509337,0.021253349394579013,0.020854095176303877,0.020757682683950618,0.020842104415321194,0.020349404066951737,0.020104434355888046,0.020218036122473193,0.020090325909364548,0.019833717204795875,0.019540115441127326,0.0194164868263913,0.018849926008628004,0.016492621519819783,0.013860391209459033,0.012321141599074603,0.012193853206311056,0.005648541016618491,0.019875096661727154
