step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/heads,learning_rate/project_layers,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,2.9839510917663574,0.0,0.0,1.1409265995025635,0.6301453709602356,1.2128791809082031,3.3333333333333335e-05,3.3333333333333335e-05,3.3333333333333333e-06,,0.0007532201707363129,2.8962825620546937
20,2.699366569519043,0.0,0.0,1.112738847732544,0.5560532808303833,1.0305743217468262,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-06,,0.0007980670779943466,2.8416886338964105
30,2.819119691848755,0.0,0.03367327590984934,1.0763534307479858,0.6381951570510864,1.1045711040496826,0.0001,0.0001,1e-05,,0.0015155971050262451,2.809798702597618
40,1.9137274026870728,0.01,0.03367327590984934,0.8492036461830139,0.43670564889907837,0.6278181076049805,9.967544117161328e-05,9.967544117161328e-05,9.967544117161327e-06,,0.0007830057293176651,2.558666550554335
50,2.0476927757263184,0.01,0.03367327590984934,0.8161975741386414,0.39375296235084534,0.837742269039154,9.870615378783155e-05,9.870615378783155e-05,9.870615378783155e-06,0.029265235577310835,0.000848027877509594,2.460017549805343
60,2.0104641914367676,0.01,0.007671888327674246,0.8504497408866882,0.33631667494773865,0.8236976861953735,9.71052457977236e-05,9.71052457977236e-05,9.710524579772362e-06,,0.0006182463839650154,2.7919960115104914
70,1.6886694431304932,0.01,0.007671888327674246,0.881320595741272,0.35762426257133484,0.44972458481788635,9.48943667355238e-05,9.48943667355238e-05,9.48943667355238e-06,,0.000945081003010273,2.599228057079017
80,2.0318355560302734,0.01,0.01822904362746854,0.7860651612281799,0.4269002676010132,0.8188701868057251,9.210341494782096e-05,9.210341494782096e-05,9.210341494782097e-06,,0.0012778611853718758,2.596072858199477
90,1.7272264957427979,0.01,0.01822904362746854,0.6777371168136597,0.32864910364151,0.7208402156829834,8.877013326971095e-05,8.877013326971095e-05,8.877013326971095e-06,,0.0009255232289433479,3.099443375132978
100,1.635643720626831,0.02,0.01822904362746854,0.6930581331253052,0.3668310344219208,0.5757544636726379,8.493959861769923e-05,8.493959861769923e-05,8.493959861769923e-06,0.02302257078034537,0.000920398160815239,2.784042401239276
110,1.3859429359436035,0.02,0.06605500489555281,0.6443194150924683,0.30150938034057617,0.4401141405105591,8.066361240173374e-05,8.066361240173374e-05,8.066361240173374e-06,,0.0007489025592803955,2.556580518372357
120,1.651969075202942,0.02,0.06605500489555281,0.7287773489952087,0.3061942756175995,0.616997480392456,7.6e-05,7.6e-05,7.600000000000001e-06,,0.001066785305738449,2.702381200157106
130,1.4967443943023682,0.02,0.023275243492513552,0.6738555431365967,0.28039637207984924,0.5424925088882446,7.101182876987953e-05,7.101182876987953e-05,7.101182876987953e-06,,0.0006080437451601028,2.2844491293653846
140,1.076015591621399,0.02,0.023275243492513552,0.46947944164276123,0.2767833471298218,0.3297528028488159,6.576655517013234e-05,6.576655517013234e-05,6.5766555170132344e-06,,0.0008317884057760239,2.706387852318585
