step,mean,max,max_layer,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,0.0,0.0,layer_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.013324983015074735,0.034833964844029675,layer_17,3.3752152184263196e-09,1.856641818065441e-08,7.24976885191353e-08,2.004918975284653e-07,6.38730163649015e-07,1.3941004924911127e-06,2.9513829902239053e-06,5.071931651889905e-06,7.555924854574236e-06,1.0010180194530705e-05,1.2342430992351439e-05,1.160969209046403e-05,7.510169053648319e-06,5.394790480894862e-06,4.2815955688668694e-06,5.5934782902111735e-06,0.03354485793233619,0.034833964844029675,0.03459242676311014,0.03381775140722154,0.033521187664236174,0.033628286557398246,0.03278831681830208,0.03221944105469987,0.03144261233470158,0.031167231843441168,0.02992683652348005,0.028588698604225637,0.026555388506851352,0.020603874145620926,0.015664369771358766,0.011070273120100338,0.008040424076682706,0.0065387032166088765,0.0006784316474154339,0.0004016623728264612
50,0.02050131428943082,0.05260591335458198,layer_17,3.4528900849650768e-09,4.150487498133515e-08,9.255468758073704e-08,1.9453544242153953e-07,5.707854997538675e-07,1.0611503079571705e-06,2.548594395634929e-06,3.624545966807169e-06,5.557698721792015e-06,5.917386593945473e-06,6.117950557382734e-06,4.518003709708118e-06,4.039530321131579e-06,3.792920759027041e-06,4.03161198281321e-06,4.847043086564362e-06,0.0503372722016433,0.05260591335458198,0.05212708407920885,0.05106180259642368,0.050841756283872996,0.05107615827606138,0.0498451627296449,0.049095731362170936,0.0483447232296812,0.04783359723221792,0.04635251044072253,0.04436874417248393,0.040882138758602804,0.032775668225721644,0.025905719340268973,0.01861526953140047,0.01368136085501337,0.01106570660984707,0.0006393805582854961,0.000544655311858544
75,0.004272003528807787,0.010770501894285078,layer_17,3.177876406468272e-09,3.185234120905989e-08,1.1628776597216728e-07,1.646462807203264e-07,4.938225283135367e-07,1.283606277935334e-06,3.3814851021496395e-06,6.0228352619651204e-06,9.15654250088771e-06,1.308921971365784e-05,1.3908112679650309e-05,1.2044727067506145e-05,6.870480542486845e-06,5.328818454053419e-06,3.421169336381702e-06,4.962873150882174e-06,0.010604650924999404,0.010770501894285078,0.010714413469095296,0.010522953756364806,0.010469929607219819,0.010508671949726045,0.01029753789564436,0.01021260496329246,0.01010868022163891,0.010031210470139218,0.009631499848527403,0.009243543192000159,0.00861139472645267,0.006754003096266947,0.005214145663206438,0.003751351229119737,0.0027537310641061463,0.0022623687026295247,0.00079731046730247,0.0004513442381832711
100,0.0074250082628463015,0.01894617006076771,layer_17,3.1589918458863053e-09,4.67155344407999e-08,8.917005944741874e-08,1.952423542839199e-07,5.247746734937664e-07,1.3058676888721976e-06,3.0383668089273286e-06,5.685566341173676e-06,9.22826331983817e-06,1.2439745117442946e-05,1.3158959393022585e-05,1.001194164429453e-05,5.527505975044811e-06,4.8956507469055666e-06,4.855092769706637e-06,5.407386373557088e-06,0.018707999934714725,0.01894617006076771,0.018855303294894488,0.018463912598509435,0.018258779332721464,0.01830475425586242,0.017903554047644876,0.017678620260179634,0.017485111957144972,0.017377400054828795,0.016638424585046385,0.01601298293000175,0.014945835386401707,0.01187681656647721,0.009201447925905826,0.0065124950495463185,0.004830858120372539,0.003998626032608588,0.0007585809826364809,0.00046621067840924013
125,0.10613512658236024,0.2695987079127057,layer_16,3.965873074385229e-09,3.1730560956511056e-08,8.983112487204181e-08,2.3663721404609817e-07,6.244562732460324e-07,1.5918549893800815e-06,3.4179439705184222e-06,4.448542315182991e-06,8.21075787116321e-06,1.2741037801577981e-05,1.4166422539263479e-05,1.2559390740074505e-05,8.941441513199422e-06,7.018484478593656e-06,7.0484009001559045e-06,7.880693126183225e-06,0.2695987079127057,0.26805180846756615,0.2671166639724488,0.2632126804265823,0.2613977459629172,0.262032894701998,0.25810114975474996,0.25558501290337365,0.25132293638476055,0.24951413326911354,0.24027074088068534,0.23148133299394913,0.2149632317439203,0.17124790603584983,0.13274365412243105,0.09469232311779929,0.07039843286714154,0.057834398420015476,0.0006197797245180992,0.0005900117111509173
150,0.011326049504401213,0.02963992530684778,layer_17,4.04338085235878e-09,2.9471395213143126e-08,7.682538560871421e-08,1.7373439265000457e-07,4.6316869983797915e-07,1.067215207206651e-06,2.9929637327397174e-06,4.769055776399078e-06,7.110067636095785e-06,8.650137223620291e-06,1.0344924625149687e-05,8.790974735939372e-06,6.1949937590899395e-06,5.353846779132532e-06,5.3516220627214395e-06,5.869436630279168e-06,0.027727330516613247,0.02963992530684778,0.029341493100401794,0.028783361385939177,0.028617305502722012,0.028723666665831926,0.02799290971891777,0.02765961305355269,0.0270081122309227,0.026612913203095334,0.025581586651282073,0.024406118642922525,0.022485275791513937,0.017368539399724936,0.013217330129800087,0.009133527229913785,0.00649275653808723,0.005242544590869813,0.000854125060269828,0.0007821049577925177
175,0.021950307632939918,0.056727576346934594,layer_17,3.4048848185364022e-09,2.715001290454211e-08,6.413846398434231e-08,1.7809429719850556e-07,6.014932176778842e-07,1.2092566040733388e-06,2.119690080237824e-06,3.2641321404680568e-06,5.6292445234085164e-06,8.52783144777991e-06,8.324506281409683e-06,8.790175164863356e-06,5.938736729715899e-06,5.567675043560705e-06,5.229947554474812e-06,5.871279937341711e-06,0.054954027229812796,0.056727576346934594,0.05637173386314509,0.0552592196841728,0.05486365966749562,0.055001793977814684,0.053918939798490495,0.053079979640906605,0.05200506794447257,0.0516317424613395,0.04960834507434364,0.047721684551718546,0.04374339714131581,0.034243515970713734,0.026132174328563407,0.01834143137431321,0.013634919610436058,0.011327722660943174,0.0008949075813070584,0.0006878891212137583
200,0.0028847226480840124,0.007445677499073655,layer_17,3.491093747420848e-09,3.6893110122449e-08,8.160931685985418e-08,1.8252563682708e-07,7.281127111236074e-07,1.3322460381548495e-06,3.0458662462207187e-06,5.4826961819465225e-06,9.019761209927424e-06,1.1074773711317043e-05,1.1505413220147531e-05,1.0119468047076197e-05,6.3976126045695025e-06,4.980689270017713e-06,4.64637409114399e-06,4.893795469307349e-06,0.006767394574529684,0.007445677499073655,0.0073522484261629995,0.007189707382936672,0.007154127339873195,0.007191152685795621,0.007014218111305759,0.006886206179210319,0.006623257737548571,0.006487624677460002,0.006202891363889629,0.005921412859449471,0.005567953832808614,0.004341973543626865,0.003341811894780111,0.0024356356786778832,0.0019326555256249378,0.0016842390793024853,0.0012781231236036472,0.0009581724874058173
225,0.010977543169332122,0.028458932959447347,layer_17,3.772947509972369e-09,3.5201114023664104e-08,9.873323336684336e-08,1.8326840800497735e-07,7.436166181706838e-07,1.459878274157056e-06,4.086332066943754e-06,6.841614724417688e-06,1.2254341132500457e-05,1.4203820282276958e-05,1.640756127752052e-05,1.2294153310721256e-05,8.09916164157265e-06,6.120201043180451e-06,4.673892566531279e-06,5.04783684152077e-06,0.026709914056215034,0.028458932959447347,0.028191746730393596,0.027687282396877455,0.02747853015254398,0.027603129837202256,0.026972242003209912,0.02670640803535773,0.02598875545551349,0.0256631686697254,0.024612543857229552,0.023533649305443993,0.021964754641444095,0.016934551194577763,0.012957898041852767,0.009118089488728609,0.006713465011477959,0.005556745209835734,0.001125849296306436,0.0011213443670908818
