step,mean,max,max_layer,frozen_mean,trainable_mean,secondary_mean,secondary_max,embed_changed_rows,embed_rel_change,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,5.2427198385076835e-17,2.220446049250313e-16,layer_14,5.551115123125783e-17,4.9343245538895844e-17,0.0,0.0,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0
25,3.607457756028677e-06,0.00012328101119585266,layer_35,5.551115123125783e-17,7.214915512001843e-06,1.0137025173378383e-05,8.58190433741246e-05,46,2.100761440149615e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.548250582241508e-10,2.4092057238078723e-09,4.314609336475428e-09,7.009238078836688e-09,1.2616811151389129e-08,2.1005227113235492e-08,3.365444667391415e-08,4.2670616484663526e-08,5.533919134048659e-08,7.350871833455841e-08,1.1251817899626815e-07,1.565160065997162e-07,2.284588660472764e-07,3.1803036626421033e-07,4.916634263052444e-07,8.269219882173218e-07,4.2004762984548805e-06,0.00012328101119585266
50,0.00010634887659848509,0.003793524793618497,layer_35,5.551115123125783e-17,0.00021269775319691467,0.00010932254317362149,0.0016361179293830075,46,6.671042884990781e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,6.409591746248111e-10,3.980484608590018e-09,7.06392300209302e-09,1.1267131783121442e-08,2.0081030394081267e-08,3.524889757855476e-08,5.971475791621828e-08,8.698977560506194e-08,1.2611533195538982e-07,1.7971537791261483e-07,3.076409438307337e-07,4.673728432047497e-07,7.489017023187827e-07,1.1843773594089058e-06,1.990020794484515e-06,3.321758704655231e-06,2.6483873908134115e-05,0.003793524793618497
75,0.00037729337301212814,0.013489916999383178,layer_35,5.551115123125783e-17,0.0007545867460242008,0.0003477337266167557,0.007412895065236902,46,9.64452762372987e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.112422154392334e-09,5.632978639091846e-09,1.0271010819629112e-08,1.6680447911809893e-08,3.071052856462586e-08,5.364718602685059e-08,8.847819266133428e-08,1.4784755542063266e-07,2.3260516002210352e-07,3.5888151272978064e-07,6.497693973983587e-07,1.0239345122897703e-06,1.7399091801761912e-06,3.0079750722444842e-06,4.714086618951008e-06,7.24686303199551e-06,7.331602424442973e-05,0.013489916999383178
100,0.0007934949736924657,0.028374549041171537,layer_35,5.551115123125783e-17,0.0015869899473848759,0.0007047791990824768,0.013694689912534086,46,1.3545903922972509e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.537744376278738e-09,6.725438095323e-09,1.1658823018123599e-08,1.8273593749285055e-08,3.681998816951193e-08,7.453798633871855e-08,1.1017506174049174e-07,1.864912472226976e-07,2.847451932019851e-07,4.437293649184326e-07,9.011028231364904e-07,1.5386763193570019e-06,2.774708496078304e-06,5.274086558593183e-06,9.04101418741643e-06,1.5516501578938247e-05,0.00015504922735187776,0.028374549041171537
125,0.001067420827568592,0.0380684057319437,layer_35,5.551115123125783e-17,0.0021348416551371283,0.0009641768203965333,0.011283327779766927,46,1.6213704448574237e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.5323559088287197e-09,6.9416258297039235e-09,1.19308248835992e-08,1.9737896650440234e-08,4.2559088586635596e-08,9.292929226134561e-08,1.371979961861669e-07,2.4994987368742727e-07,3.9521877681636397e-07,6.388704696380643e-07,1.3916589096663046e-06,2.477252808885666e-06,4.778271958216784e-06,9.506848827389724e-06,1.764856782993096e-05,2.9992424185887323e-05,0.00029135216780418194,0.0380684057319437
150,0.0011897171869740418,0.042248765635685026,layer_35,5.551115123125783e-17,0.002379434373948028,0.0012832485990355396,0.010262903684121638,46,1.820198566832806e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.6176955330848841e-09,7.51714046565155e-09,1.2762940926336341e-08,2.2204833527439405e-08,5.171249861657401e-08,1.3517959229769616e-07,1.9919961757874916e-07,3.786869438027196e-07,6.211448390081031e-07,1.0431066063132377e-06,2.239031614226228e-06,3.888970023901983e-06,7.5630855559394305e-06,1.4635228809511958e-05,2.758289749404952e-05,4.498630342997245e-05,0.00047768444574380897,0.042248765635685026
175,0.0011770659313002734,0.04169978962173415,layer_35,5.551115123125783e-17,0.0023541318626004912,0.0013814204822051373,0.01049004612958937,46,1.9361602207740675e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.629589241325391e-09,8.139643292714993e-09,1.3674111287720336e-08,2.3365187673540788e-08,5.7104643569338975e-08,1.498465317384401e-07,2.3212275235273694e-07,4.413337960640362e-07,7.260901095929029e-07,1.2079601058312406e-06,2.629791204911136e-06,4.4147842382935565e-06,8.617897950480291e-06,1.6542150001574996e-05,3.0710750294260514e-05,4.871468360978515e-05,0.0005600925813047386,0.04169978962173415
200,0.0012801702998641246,0.045258398254738985,layer_35,5.551115123125783e-17,0.0025603405997281937,0.0014890481264351113,0.011952050706720785,46,2.0379233390324193e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.8156968151217256e-09,8.723504807406357e-09,1.4362249833865803e-08,2.5976865436483365e-08,6.552957310113072e-08,1.7177726852057873e-07,2.753528294263674e-07,5.309282564702755e-07,8.7927909953045e-07,1.4627704398861852e-06,3.2006396702977113e-06,5.335236002990129e-06,1.0422251573882768e-05,1.9575753395617568e-05,3.624173705207845e-05,5.730972486539532e-05,0.0006922106820244078,0.045258398254738985
225,0.0014406064435182702,0.050899725672544305,layer_35,5.551115123125783e-17,0.002881212887036485,0.0016339646826091607,0.01298373452963475,46,2.0796598371278977e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.8349199937262028e-09,9.030779013485812e-09,1.4841323725534039e-08,2.6447818934904888e-08,6.545769937194024e-08,1.8151462199966772e-07,2.882204919174569e-07,5.652589014637499e-07,9.402793450519198e-07,1.575270787257388e-06,3.3622595263516075e-06,5.652941766576269e-06,1.1083511550546987e-05,2.090790516684482e-05,3.939339869096781e-05,6.244621262485595e-05,0.000815591908097546,0.050899725672544305
