step,mean,max,max_layer,frozen_mean,trainable_mean,secondary_mean,secondary_max,embed_changed_rows,embed_rel_change,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,5.2427198385076835e-17,2.220446049250313e-16,layer_14,5.551115123125783e-17,4.9343245538895844e-17,0.0,0.0,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0
25,2.5295549113648865e-06,8.573014715917981e-05,layer_35,5.551115123125783e-17,5.059109822674262e-06,6.409872001345018e-06,8.035737871703308e-05,42,1.941939385875194e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.5077007964900986e-10,2.1853647780289975e-09,4.051298296836592e-09,6.7992685925943874e-09,1.1771501329249645e-08,1.985848874230811e-08,3.0210019041909675e-08,3.7594772628324336e-08,4.8941649177791646e-08,6.593894974482595e-08,9.884098051138324e-08,1.392494987095816e-07,1.9970944331593188e-07,2.743843545705005e-07,4.028060944794021e-07,6.753963649464012e-07,3.3157408300121816e-06,8.573014715917981e-05
50,5.45318288193893e-06,0.0001867814429349357,layer_35,5.551115123125783e-17,1.0906365763822349e-05,8.640693268742913e-06,0.0001463516677457921,42,4.851958247697192e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,4.3473646904601537e-10,2.225688744417198e-09,4.292631028413041e-09,6.945869213126343e-09,1.1841022606873253e-08,2.0080606066841256e-08,3.1535766109591634e-08,3.901561673735898e-08,5.058074603603302e-08,6.628210791337352e-08,9.990494542755357e-08,1.3981420954323198e-07,2.0463944117032895e-07,2.9024133985089406e-07,4.293167764624073e-07,7.115672665536366e-07,7.424422043933454e-06,0.0001867814429349357
75,6.454774088344224e-06,0.00022237929751078855,layer_35,5.551115123125783e-17,1.2909548176632936e-05,8.381792630330404e-06,0.00014418664015780625,42,7.083368312855475e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,4.708773371220332e-10,2.5979693951683203e-09,4.676022569150007e-09,7.73130370834707e-09,1.2635404833538644e-08,2.1152390838885538e-08,3.285956950982438e-08,4.144687826279636e-08,5.171778583168418e-08,6.791706452791146e-08,9.856434279864601e-08,1.3957854561041927e-07,2.056020560470273e-07,2.911279144424128e-07,4.284024194278757e-07,7.158927550765526e-07,7.870196368386928e-06,0.00022237929751078855
100,6.65747033930396e-06,0.00022907100474034436,layer_35,5.551115123125783e-17,1.3314940678552408e-05,1.308522172885043e-05,0.0002169625281154275,42,9.080686559641539e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,5.713294282116976e-10,2.8057626222377507e-09,5.00710017892203e-09,8.29586599415677e-09,1.3299629064711382e-08,2.2042322855853058e-08,3.4458075059973226e-08,4.350500371064214e-08,5.6362277622845625e-08,7.335641294403672e-08,1.0707750630611912e-07,1.500109885199663e-07,2.0713471171607267e-07,2.954763480556011e-07,4.486276603543615e-07,7.624667622829762e-07,8.367429716882313e-06,0.00022907100474034436
125,5.1807797402997965e-06,0.0001744657712589026,layer_35,5.551115123125783e-17,1.0361559480544082e-05,2.1274747801533797e-05,0.0001438631575967353,42,1.1784510225799303e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,7.071221386212301e-10,3.3975987578926947e-09,6.035577482244037e-09,9.30828691902974e-09,1.558533080370239e-08,2.6385104656689862e-08,4.0748114105149114e-08,5.167276406758958e-08,6.476236358299303e-08,8.811804041997107e-08,1.263593215616865e-07,1.741168716984376e-07,2.5400964842603457e-07,3.838139264189522e-07,5.860380393185594e-07,9.735665855714615e-07,9.23767469496184e-06,0.0001744657712589026
150,8.70525736112398e-06,0.00029599420201653626,layer_35,5.551115123125783e-17,1.7410514722192448e-05,5.358326152813767e-05,0.000380553002363726,42,1.3733928248023897e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,8.590519406936892e-10,4.715224322104916e-09,7.841726601398591e-09,1.1820390777295131e-08,1.914426561722138e-08,3.194604492051667e-08,4.676069476072797e-08,6.238283367654418e-08,7.936235224548227e-08,1.061079500930262e-07,1.5397201680311667e-07,2.2145705969034424e-07,3.203211034197295e-07,5.747307976200489e-07,8.702732255949641e-07,1.4072829701561318e-06,1.3476085274688465e-05,0.00029599420201653626
175,5.825275755643054e-06,0.00018884652755613018,layer_35,5.551115123125783e-17,1.1650551511230597e-05,8.557807677446306e-05,0.0006025904691830952,42,1.48451025429295e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,9.588823068895636e-10,4.988558566232371e-09,8.19074919000684e-09,1.2619997602492106e-08,2.0917067189429872e-08,3.448596563870865e-08,5.199203578776235e-08,7.160614701184898e-08,9.451458282683234e-08,1.3016634436979757e-07,1.9657478622647773e-07,2.7049626150077444e-07,3.9635794912840083e-07,7.387090938948404e-07,1.1417606092800625e-06,1.8014213831740733e-06,1.5887639232325945e-05,0.00018884652755613018
200,5.648842254914034e-06,0.000182931257646457,layer_35,5.551115123125783e-17,1.1297684509772557e-05,0.00010493300168029938,0.0008072203928224386,42,1.5722380409730276e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,9.737222139705182e-10,5.302914773963607e-09,8.733452516729301e-09,1.2752572331464762e-08,2.1800001803740088e-08,3.732265374534194e-08,5.7973324252280634e-08,7.985058858572813e-08,1.0371591663282942e-07,1.4532236336517457e-07,2.1661131022199243e-07,3.0146093166205645e-07,4.5885932131728424e-07,8.773383332050244e-07,1.317080712825991e-06,2.0650061434146494e-06,1.4716959266580787e-05,0.000182931257646457
225,7.115339047603703e-06,0.00022936578358379034,layer_35,5.551115123125783e-17,1.4230678095151896e-05,0.00011526016846718747,0.0008520366313904404,42,1.5856167997046828e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,9.691459856853157e-10,5.4005186989058984e-09,9.245249676936851e-09,1.338137423090302e-08,2.267028631486312e-08,3.861147468420256e-08,5.968299054970316e-08,8.262695339045223e-08,1.100846467316785e-07,1.5127466346243068e-07,2.2708405933435927e-07,3.2327977461665824e-07,4.808888627305663e-07,9.402473547526213e-07,1.4379420766319484e-06,2.24665248860223e-06,2.0636380208549632e-05,0.00022936578358379034
