step,mean,max,max_layer,frozen_mean,trainable_mean,secondary_mean,secondary_max,embed_changed_rows,embed_rel_change,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,5.2427198385076835e-17,2.220446049250313e-16,layer_14,5.551115123125783e-17,4.9343245538895844e-17,0.0,0.0,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0
25,3.0405198713408708e-06,0.0001002891456269861,layer_35,5.551115123125783e-17,6.08103974262623e-06,7.136183532932858e-06,0.00011057531018598965,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.193839637205542e-10,2.1627791779721406e-09,4.2016519152809906e-09,6.908498328961343e-09,1.1957292378461659e-08,2.0316016424715144e-08,3.082276345267587e-08,3.751123356376951e-08,4.7462240915230325e-08,6.148459075205892e-08,9.320399529944012e-08,1.2947144145680767e-07,1.8751384700532725e-07,2.70767653298698e-07,3.907281317383493e-07,6.662855493999587e-07,7.208452671214616e-06,0.0001002891456269861
50,2.4500279125853433e-06,8.228516545938369e-05,layer_35,5.551115123125783e-17,4.900055825115175e-06,5.572092924720372e-06,6.061345170094157e-05,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,4.6475234771747864e-10,2.3616049116270688e-09,4.5420585070843345e-09,7.189647877048344e-09,1.2495292578407202e-08,2.0881553930429675e-08,3.116197733188386e-08,3.748528309976962e-08,4.897220617916531e-08,6.379931816180573e-08,9.681127910443621e-08,1.4022965189042225e-07,2.0368061970366114e-07,2.8818130193286606e-07,4.223894385368965e-07,7.109417137218799e-07,3.82425169287437e-06,8.228516545938369e-05
75,3.718701971497682e-06,0.0001271245394476317,layer_35,5.551115123125783e-17,7.437403942939853e-06,7.499047376109526e-06,9.620759477602103e-05,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,5.661779933774369e-10,2.5212621990178263e-09,4.9702933990758424e-09,7.8810185044631e-09,1.299447038860535e-08,2.074173011124003e-08,3.277749360819371e-08,4.053433788619998e-08,5.197841723703078e-08,6.708571520519513e-08,1.0153717533434303e-07,1.4249095192653272e-07,2.07260486884131e-07,2.910274110590194e-07,4.465144433085655e-07,7.620363954297105e-07,4.555813744810955e-06,0.0001271245394476317
100,3.8085860343046238e-06,0.00012598584858658501,layer_35,5.551115123125783e-17,7.617172068553736e-06,1.0046904994068547e-05,7.47446893019088e-05,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,5.597395880130307e-10,2.5935236180885113e-09,5.243461331794208e-09,8.279182894810333e-09,1.3341358018337246e-08,2.16924432860921e-08,3.443056162399927e-08,4.310067180934851e-08,5.6364273026687783e-08,7.523831402345138e-08,1.1330997684577682e-07,1.5699518818301783e-07,2.226665959392804e-07,3.1408407541455574e-07,4.741187867862706e-07,7.894244297146358e-07,8.791806065278074e-06,0.00012598584858658501
125,3.69848145795943e-06,0.00011983382919089625,layer_35,5.551115123125783e-17,7.396962915863349e-06,1.903977222086289e-05,0.00015865643150336783,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,7.379789002115444e-10,3.2739956301597317e-09,6.215478687288112e-09,9.658147948066187e-09,1.4819750426831035e-08,2.3945102123335005e-08,3.9039212085256736e-08,5.1821895663550777e-08,6.69520099361165e-08,8.987841482177572e-08,1.3141267019012304e-07,1.8244279920143214e-07,2.7205255792583927e-07,4.071185938370192e-07,6.017175906425365e-07,1.0066880818948576e-06,1.0403729014729635e-05,0.00011983382919089625
150,5.378175288379818e-06,0.00017668524403546826,layer_35,5.551115123125783e-17,1.0756350576704124e-05,4.0193115753009126e-05,0.0002956183698441528,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,7.188009076841695e-10,3.8203179508755625e-09,6.654518158732969e-09,1.0549081053135012e-08,1.7031484000895603e-08,2.7810322267285414e-08,4.1733603683979936e-08,5.539202629911699e-08,7.225706422087086e-08,1.003530775145478e-07,1.5263594366210498e-07,2.1864013377559388e-07,3.3346216521401573e-07,5.536219688240251e-07,8.415005064987824e-07,1.3701733242443837e-06,1.3122712006929937e-05,0.00017668524403546826
175,7.409121442468623e-06,0.00024382075452344942,layer_35,5.551115123125783e-17,1.4818242884881735e-05,6.858280071418237e-05,0.0004870801854022222,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,7.615409414185592e-10,4.358100547108279e-09,7.758676479063809e-09,1.142305694479262e-08,1.8288812020372802e-08,2.986588520936806e-08,4.5910994339593e-08,6.303196653512089e-08,8.499771564363101e-08,1.210418673069924e-07,1.850618295273776e-07,2.723461438591812e-07,4.217804723261054e-07,7.840023702465615e-07,1.1882298820431458e-06,1.8845281931634261e-06,1.778422989728856e-05,0.00024382075452344942
200,8.241130573957392e-06,0.00026910263849344584,layer_35,5.551115123125783e-17,1.6482261147859274e-05,8.483075387611148e-05,0.0006770422867914405,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,7.824929593169827e-10,4.540745779380018e-09,8.105472737440778e-09,1.2256382242448183e-08,2.0102171038871575e-08,3.241749968463381e-08,4.9443574900998044e-08,6.911236316575753e-08,9.271324896698019e-08,1.3268076970440745e-07,2.0908399822605617e-07,3.0385288507517316e-07,4.719087063342897e-07,9.060382629710872e-07,1.3850287258199145e-06,2.217968760209743e-06,2.1662026108204557e-05,0.00026910263849344584
225,9.08514128706048e-06,0.0002983303540966542,layer_35,5.551115123125783e-17,1.817028257406545e-05,9.196103087201941e-05,0.0007350182700326391,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,7.810805335850546e-10,4.870256420375085e-09,8.510625537638816e-09,1.2467391341530742e-08,1.9758689462356926e-08,3.265836323596005e-08,5.041497053159816e-08,7.071907903721808e-08,9.556177882341643e-08,1.3733383530389887e-07,2.1936069327654906e-07,3.206357095386636e-07,5.129034663653442e-07,9.740713532435663e-07,1.4848366929332002e-06,2.3607685483151286e-06,2.2429079702623866e-05,0.0002983303540966542
