step,action_dit_loss,epoch,lab/drift,learning_rate/action_model,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,0.6532961130142212,0.0,5.2427198385076835e-17,3.3333333333333335e-05,3.3333333333333333e-06,,0.0006020143628120422,1.7943857973441482
20,0.5570853352546692,0.0,5.2427198385076835e-17,6.666666666666667e-05,6.666666666666667e-06,,0.0006406065076589584,1.8344458434730768
30,0.7361958622932434,0.0,3.0405198713408708e-06,0.0001,1e-05,,0.001028290018439293,1.8191670225933194
40,0.5237476825714111,0.01,3.0405198713408708e-06,9.967544117161328e-05,9.967544117161327e-06,,0.0004201289266347885,1.7919989107176661
50,0.34706342220306396,0.01,2.4500279125853433e-06,9.870615378783155e-05,9.870615378783155e-06,0.017450554030282155,0.0007301727309823036,13.513619435951114
60,0.32793086767196655,0.01,2.4500279125853433e-06,9.71052457977236e-05,9.710524579772362e-06,,0.0009253397583961487,1.6391567783430219
70,0.3190010190010071,0.01,2.4500279125853433e-06,9.48943667355238e-05,9.48943667355238e-06,,0.0007670493796467781,1.8208569018170238
80,0.39585450291633606,0.01,3.718701971497682e-06,9.210341494782096e-05,9.210341494782097e-06,,0.0006496310234069824,1.840110694989562
90,0.3127618730068207,0.01,3.718701971497682e-06,8.877013326971095e-05,8.877013326971095e-06,,0.0005269376561045647,1.8184679904952645
100,0.34287264943122864,0.02,3.8085860343046238e-06,8.493959861769923e-05,8.493959861769923e-06,0.017343669065407345,0.017286743968725204,13.432437230832875
110,0.3421613276004791,0.02,3.8085860343046238e-06,8.066361240173374e-05,8.066361240173374e-06,,0.0007325885817408562,1.8259601825848222
120,0.3181270956993103,0.02,3.8085860343046238e-06,7.6e-05,7.600000000000001e-06,,0.0005860989913344383,1.845018838532269
130,0.32073819637298584,0.02,3.69848145795943e-06,7.101182876987953e-05,7.101182876987953e-06,,0.0006327638402581215,1.8615159336477518
140,0.23413124680519104,0.02,3.69848145795943e-06,6.576655517013234e-05,6.5766555170132344e-06,,0.0006837667897343636,1.6983596058562398
150,0.34335869550704956,0.02,5.378175288379818e-06,6.033511252801267e-05,6.033511252801267e-06,0.01875870781285422,0.0005101477727293968,12.353966830298305
160,0.24912919104099274,0.02,5.378175288379818e-06,5.479095178770284e-05,5.479095178770284e-06,,0.0005943551659584045,1.8191729942336679
170,0.3121367394924164,0.03,5.378175288379818e-06,4.920904821229716e-05,4.920904821229716e-06,,0.0007407823577523232,1.8430050928145647
180,0.33058324456214905,0.03,7.409121442468623e-06,4.3664887471987345e-05,4.366488747198735e-06,,0.0009370073676109314,1.6818780368193984
190,0.24693328142166138,0.03,7.409121442468623e-06,3.823344482986768e-05,3.8233444829867685e-06,,0.000834757462143898,1.665501069277525
200,0.26332026720046997,0.03,8.241130573957392e-06,3.2988171230120465e-05,3.298817123012047e-06,0.018240905233791897,0.0007610656321048737,13.870125061832368
210,0.2328842133283615,0.03,8.241130573957392e-06,2.800000000000001e-05,2.800000000000001e-06,,0.0006242301315069199,1.855235256254673
220,0.2488498091697693,0.03,8.241130573957392e-06,2.3336387598266272e-05,2.3336387598266276e-06,,0.0006342232227325439,1.8940631579607725
230,0.25613728165626526,0.04,9.08514128706048e-06,1.906040138230079e-05,1.906040138230079e-06,,0.0006485655903816223,1.6587852630764246
240,0.26595380902290344,0.04,9.08514128706048e-06,1.5229866730289061e-05,1.5229866730289062e-06,,0.000712304376065731,1.9268974885344505
250,0.26050832867622375,0.04,8.710942341295781e-06,1.1896585052179059e-05,1.189658505217906e-06,0.017671299832207815,0.0006890790536999702,12.617840750142932
260,0.2592352330684662,0.04,8.710942341295781e-06,9.105633264476216e-06,9.105633264476216e-07,,0.000631566159427166,1.8551031816750765
270,0.2567419409751892,0.04,8.710942341295781e-06,6.8947542022764005e-06,6.8947542022764e-07,,0.0006545577198266983,1.9321785690262914
280,0.2701262831687927,0.04,8.451131359218625e-06,5.293846212168457e-06,5.293846212168457e-07,,0.0005632052198052406,1.614643289707601
290,0.22904643416404724,0.04,8.451131359218625e-06,4.324558828386734e-06,4.3245588283867346e-07,,0.0007301541045308113,1.5872997241094708
300,0.2212756872177124,0.05,8.742797839778666e-06,4e-06,4e-07,0.016673392483166287,0.000645752064883709,12.67442490812391
