step,action_dit_loss,epoch,lab/drift,learning_rate/action_model,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,0.6979081630706787,0.0,5.2427198385076835e-17,3.3333333333333335e-05,3.3333333333333333e-06,,0.0007243920117616653,2.0860699769109488
20,0.5717754364013672,0.0,5.2427198385076835e-17,6.666666666666667e-05,6.666666666666667e-06,,0.0006260499358177185,2.3011411763727665
30,0.5165929198265076,0.0,2.5295549113648865e-06,0.0001,1e-05,,0.019958794116973877,2.278038994409144
40,0.34743648767471313,0.01,2.5295549113648865e-06,9.967544117161328e-05,9.967544117161327e-06,,0.0005659833550453186,2.012108713388443
50,0.3966401219367981,0.01,5.45318288193893e-06,9.870615378783155e-05,9.870615378783155e-06,0.02127377050263541,0.0004493109881877899,15.930688496679068
60,0.3046058118343353,0.01,5.45318288193893e-06,9.71052457977236e-05,9.710524579772362e-06,,0.0005275076255202293,1.9949549874290824
70,0.27689552307128906,0.01,5.45318288193893e-06,9.48943667355238e-05,9.48943667355238e-06,,0.0009371833875775337,1.9312378531321883
80,0.3843861520290375,0.01,6.454774088344224e-06,9.210341494782096e-05,9.210341494782097e-06,,0.0009502479806542397,2.12588216830045
90,0.26372581720352173,0.01,6.454774088344224e-06,8.877013326971095e-05,8.877013326971095e-06,,0.0006499355658888817,2.035534666851163
100,0.39442187547683716,0.02,6.65747033930396e-06,8.493959861769923e-05,8.493959861769923e-06,0.021254160574504306,0.0016239779070019722,15.048960865475237
110,0.3305055797100067,0.02,6.65747033930396e-06,8.066361240173374e-05,8.066361240173374e-06,,0.0007162513211369514,2.1976539939641953
120,0.3338061273097992,0.02,6.65747033930396e-06,7.6e-05,7.600000000000001e-06,,0.0008935248479247093,2.3318419754505157
130,0.3058985769748688,0.02,5.1807797402997965e-06,7.101182876987953e-05,7.101182876987953e-06,,0.0006525740027427673,2.096839824691415
140,0.2767440974712372,0.02,5.1807797402997965e-06,6.576655517013234e-05,6.5766555170132344e-06,,0.0008423589169979095,2.2669995119795203
150,0.28112494945526123,0.02,8.70525736112398e-06,6.033511252801267e-05,6.033511252801267e-06,0.02411216710294996,0.0006792368367314339,14.456800101324916
160,0.2730596661567688,0.02,8.70525736112398e-06,5.479095178770284e-05,5.479095178770284e-06,,0.0009854817762970924,2.0916745914146304
170,0.3411826491355896,0.03,8.70525736112398e-06,4.920904821229716e-05,4.920904821229716e-06,,0.000821579247713089,2.1533872047439218
180,0.3226501941680908,0.03,5.825275755643054e-06,4.3664887471987345e-05,4.366488747198735e-06,,0.0005695139989256859,2.377088942565024
190,0.22546865046024323,0.03,5.825275755643054e-06,3.823344482986768e-05,3.8233444829867685e-06,,0.0008173715323209763,1.888811712153256
200,0.2520924210548401,0.03,5.648842254914034e-06,3.2988171230120465e-05,3.298817123012047e-06,0.018319421580859592,0.0006203539669513702,14.796541528776288
210,0.2653725743293762,0.03,5.648842254914034e-06,2.800000000000001e-05,2.800000000000001e-06,,0.0006985366344451904,2.141781541518867
220,0.26072564721107483,0.03,5.648842254914034e-06,2.3336387598266272e-05,2.3336387598266276e-06,,0.0006697401404380798,2.136302529834211
230,0.25458452105522156,0.04,7.115339047603703e-06,1.906040138230079e-05,1.906040138230079e-06,,0.0009132688865065575,2.2097720317542553
240,0.2558203339576721,0.04,7.115339047603703e-06,1.5229866730289061e-05,1.5229866730289062e-06,,0.000696488656103611,1.8492197981104255
250,0.25366461277008057,0.04,6.5205376235080405e-06,1.1896585052179059e-05,1.189658505217906e-06,0.016994877585342953,0.0006651114672422409,15.439049151726067
260,0.2596280872821808,0.04,6.5205376235080405e-06,9.105633264476216e-06,9.105633264476216e-07,,0.0007763039320707321,1.9057924374938011
270,0.255232036113739,0.04,6.5205376235080405e-06,6.8947542022764005e-06,6.8947542022764e-07,,0.0007566642016172409,2.0773744583129883
280,0.27600792050361633,0.04,6.770765921691889e-06,5.293846212168457e-06,5.293846212168457e-07,,0.0008187554776668549,2.095908872783184
290,0.2329496443271637,0.04,6.770765921691889e-06,4.324558828386734e-06,4.3245588283867346e-07,,0.0005265343934297562,2.072368673980236
300,0.2319498062133789,0.05,6.910789798623511e-06,4e-06,4e-07,0.017245929156030928,0.0006576972082257271,14.637173310853541
