suite,head,backbone,step,action_dit_loss,epoch,learning_rate/action_model,learning_rate/base,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
goal,qwenoft,mh,10,0.6345531344413757,0.0,3.3333333333333335e-05,,3.3333333333333335e-05,,0.0005981875583529472,1.297557108104229
goal,qwenoft,mh,20,0.6288456916809082,0.0,6.666666666666667e-05,,6.666666666666667e-05,,0.000573212280869484,1.4682414317503572
goal,qwenoft,mh,30,0.5602213740348816,0.0,0.0001,,0.0001,,0.0006208084523677826,1.354108676314354
goal,qwenoft,mh,40,0.3823799192905426,0.01,9.967544117161328e-05,,9.967544117161328e-05,,0.000583217479288578,1.339815148152411
goal,qwenoft,mh,50,0.3280007839202881,0.01,9.870615378783155e-05,,9.870615378783155e-05,0.016999006271362305,0.0007400605827569962,1.298972373828292
goal,qwenoft,mh,60,0.30711254477500916,0.01,9.71052457977236e-05,,9.71052457977236e-05,,0.0006741192191839218,1.3658213894814253
goal,qwenoft,mh,70,0.28925514221191406,0.01,9.48943667355238e-05,,9.48943667355238e-05,,0.0008472157642245293,1.3591216476634145
goal,qwenoft,mh,80,0.27377304434776306,0.01,9.210341494782096e-05,,9.210341494782096e-05,,0.000500519759953022,1.4965370371937752
goal,qwenoft,mh,90,0.31681931018829346,0.01,8.877013326971095e-05,,8.877013326971095e-05,,0.0010603144764900208,1.4019104363396764
goal,qwenoft,mh,100,0.29446086287498474,0.02,8.493959861769923e-05,,8.493959861769923e-05,0.014184620763574327,0.0014094309881329536,1.3667849889025092
goal,qwenoft,mh,110,0.2685934007167816,0.02,8.066361240173374e-05,,8.066361240173374e-05,,0.0011573098599910736,1.4743208568543196
goal,qwenoft,mh,120,0.31469032168388367,0.02,7.6e-05,,7.6e-05,,0.0005159256979823112,1.541574857197702
goal,qwenoft,mh,130,0.35683000087738037,0.02,7.101182876987953e-05,,7.101182876987953e-05,,0.0010573603212833405,1.4572422346100211
goal,qwenoft,mh,140,0.26795831322669983,0.02,6.576655517013234e-05,,6.576655517013234e-05,,0.0008782483637332916,1.3660445641726255
goal,qwenoft,mh,150,0.24225184321403503,0.02,6.033511252801267e-05,,6.033511252801267e-05,0.01832108838217599,0.0007812893018126488,1.4426687089726329
