step,mean,max,max_layer,frozen_mean,trainable_mean,secondary_mean,secondary_max,embed_changed_rows,embed_rel_change,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,5.2427198385076835e-17,2.220446049250313e-16,layer_14,5.551115123125783e-17,4.9343245538895844e-17,0.0,0.0,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0
25,2.5412874335532334e-06,8.558060478458529e-05,layer_35,5.551115123125783e-17,5.082574867050956e-06,8.605496479799665e-06,9.445916661487974e-05,46,2.0360267685755794e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.3106628549717243e-10,2.1139021644245304e-09,4.115133234172674e-09,7.212739960849035e-09,1.214408007488288e-08,2.0436340952834087e-08,3.194483577662055e-08,3.9963022113731483e-08,5.149727078102018e-08,6.945332042818109e-08,1.0200050115649617e-07,1.4910978662907581e-07,2.1482592527100053e-07,3.037075068101913e-07,4.570093008471332e-07,7.728831085129784e-07,3.6669949813328273e-06,8.558060478458529e-05
50,3.7793511027614216e-05,0.0013433623937945116,layer_35,5.551115123125783e-17,7.558702205517292e-05,5.7874389502554635e-05,0.000941276517737677,46,5.9150003257391425e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,5.787439416593543e-10,3.4201826926150147e-09,5.960527071913191e-09,9.93479043476242e-09,1.7375240246586543e-08,2.8658572737150223e-08,5.041355854995544e-08,7.124533474289763e-08,9.816783641536375e-08,1.3762849448983872e-07,2.2364349694381502e-07,3.1880070594514365e-07,4.84576776926815e-07,7.566950483983703e-07,1.2111085337940253e-06,1.929126821176297e-06,1.1856668534093728e-05,0.0013433623937945116
75,0.00014952701987855057,0.005311723213072828,layer_35,5.551115123125783e-17,0.0002990540397570456,0.00022988443640978605,0.003937484436372873,46,9.142440253141861e-06,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1127672117083875e-09,5.103844125109447e-09,8.480263491428275e-09,1.4101839140856498e-08,2.364366646911975e-08,4.166798861504617e-08,7.33813440012554e-08,1.0747454970427839e-07,1.6546723946575526e-07,2.4996213188188676e-07,4.674093702083937e-07,7.023480070866839e-07,1.2051875913909882e-06,2.316449969064216e-06,3.7942068377150306e-06,6.471844460897991e-06,5.560166068352412e-05,0.005311723213072828
100,0.0006549362422029747,0.023263317578669063,layer_35,5.551115123125783e-17,0.001309872484405894,0.0006108195820850808,0.008048739481695266,46,1.2339326631066185e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.832289209247051e-09,7.150547043366373e-09,1.1941826749684026e-08,1.8622529407430477e-08,3.5470857473463013e-08,7.258774958884828e-08,1.3702434442652844e-07,2.4497480599627863e-07,4.075342460163611e-07,6.79983202522827e-07,1.4393356144726255e-06,2.323216767297076e-06,4.45077406996397e-06,8.756091608996819e-06,1.584106718988121e-05,2.8251810720636428e-05,0.00025170772226734694,0.023263317578669063
125,0.0005503342484241311,0.019160758236823505,layer_35,5.551115123125783e-17,0.0011006684968482066,0.0010120948870692456,0.007712563813306428,46,1.465132005934747e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.1008699224722704e-09,8.329018474917405e-09,1.2850159825106289e-08,2.2364252894035985e-08,4.391064689635016e-08,1.0159302776813206e-07,1.997429464051237e-07,3.893816344913148e-07,6.628679775078083e-07,1.1118527246667398e-06,2.5933357327145856e-06,4.1816605580446975e-06,8.016186048842577e-06,1.6227049343342514e-05,3.168988332558076e-05,5.7006463621944725e-05,0.0005290051345548941,0.019160758236823505
150,0.0007970029482767013,0.027768729847257534,layer_35,5.551115123125783e-17,0.001594005896553347,0.0013960786343165418,0.009269243009678463,46,1.6905571669283646e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.1853935328053353e-09,8.990708622036436e-09,1.3244652707911087e-08,2.3145072969299463e-08,5.04251435051728e-08,1.3796095288398647e-07,2.824350433527911e-07,5.662346171941834e-07,9.865020029753424e-07,1.6526701985819514e-06,3.774162507852452e-06,6.1156818063068386e-06,1.2010841545562201e-05,2.4448753599748407e-05,4.624759854776617e-05,8.098018905655646e-05,0.0007460752698525974,0.027768729847257534
175,0.0008758696390478438,0.030502608137427223,layer_35,5.551115123125783e-17,0.001751739278095632,0.0015811125886969017,0.009295678938136098,46,1.805827428115372e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.2998468685031526e-09,9.914015386414121e-09,1.488767154000925e-08,2.623874628682188e-08,5.894931998096098e-08,1.6143599979034917e-07,3.165231724500117e-07,6.339335036908977e-07,1.099641111945715e-06,1.8494689757453386e-06,4.21154590946049e-06,6.764766483646767e-06,1.3192940576001178e-05,2.7191669375148386e-05,5.138536657589565e-05,8.915444636647951e-05,0.0008326248406438364,0.030502608137427223
200,0.0010001768809892115,0.034831682896464766,layer_35,5.551115123125783e-17,0.0020003537619783674,0.0018533021406691936,0.010414509845278586,46,1.9212036146573197e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.3906667756534716e-09,1.0554386142835881e-08,1.5523254126570407e-08,2.7273819647177788e-08,6.191054446880173e-08,1.7586959499826804e-07,3.409119454511611e-07,6.922888331484245e-07,1.2100455554220346e-06,2.0636598604406586e-06,4.7307521343631365e-06,7.798483317333904e-06,1.560367194797241e-05,3.1921887639230206e-05,5.964463729712932e-05,0.0001021064161497165,0.0009482785421994766,0.034831682896464766
225,0.0010751030757581992,0.03744416391402661,layer_35,5.551115123125783e-17,0.002150206151516343,0.0019401631629212916,0.010474441567225545,46,1.9517495921217753e-05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.382340102968783e-09,1.0713132492234934e-08,1.5574183276356734e-08,2.775811502875314e-08,6.374219752025567e-08,1.8071790675033839e-07,3.5330649428289007e-07,7.347380851507879e-07,1.3018788510565926e-06,2.233045814703516e-06,5.208677949175566e-06,8.485902787014332e-06,1.693838829508465e-05,3.450631437063034e-05,6.391603401756374e-05,0.00010979144190381707,0.0010157761968239143,0.03744416391402661
