step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/head,learning_rate/qwen_vl_interface,learning_rate/qwen_vl_interface. model.model.language_model.embed_ tokens,learning_rate/qwen_vl_interface. model.model.language_model.layers .18,learning_rate/qwen_vl_interface. model.model.language_model.layers .19,learning_rate/qwen_vl_interface. model.model.language_model.layers .20,learning_rate/qwen_vl_interface. model.model.language_model.layers .21,learning_rate/qwen_vl_interface. model.model.language_model.layers .22,learning_rate/qwen_vl_interface. model.model.language_model.layers .23,learning_rate/qwen_vl_interface. model.model.language_model.layers .24,learning_rate/qwen_vl_interface. model.model.language_model.layers .25,learning_rate/qwen_vl_interface. model.model.language_model.layers .26,learning_rate/qwen_vl_interface. model.model.language_model.layers .27,learning_rate/qwen_vl_interface. model.model.language_model.layers .28,learning_rate/qwen_vl_interface. model.model.language_model.layers .29,learning_rate/qwen_vl_interface. model.model.language_model.layers .30,learning_rate/qwen_vl_interface. model.model.language_model.layers .31,learning_rate/qwen_vl_interface. model.model.language_model.layers .32,learning_rate/qwen_vl_interface. model.model.language_model.layers .33,learning_rate/qwen_vl_interface. model.model.language_model.layers .34,learning_rate/qwen_vl_interface. model.model.language_model.layers .35,mse_score,timing/data,timing/model
10,2.9313125610351562,0.0,5.2427198385076835e-17,1.1392663717269897,0.638843297958374,1.153203010559082,3.3333333333333335e-05,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,3.3333333333333333e-06,,0.0008289637044072151,2.0852900268509984
20,2.6935245990753174,0.0,5.2427198385076835e-17,1.0609982013702393,0.5689544081687927,1.0635719299316406,6.666666666666667e-05,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06,,0.0007837479934096336,2.0403134962543845
30,2.8806686401367188,0.0,2.5412874335532334e-06,1.0703654289245605,0.7388120889663696,1.0714912414550781,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,0.0009611565619707108,2.0650465236976743
40,1.8196380138397217,0.01,2.5412874335532334e-06,0.882932722568512,0.4721704423427582,0.46453481912612915,9.969572609838744e-05,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,9.969572609838745e-06,,0.0005056429654359818,2.099078959785402
50,2.1750407218933105,0.01,3.7793511027614216e-05,0.9245172739028931,0.39084044098854065,0.8596829175949097,9.878701917609207e-05,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,9.878701917609208e-06,0.02674743746008192,0.0010166838765144348,12.388948606327176
60,1.9603033065795898,0.01,3.7793511027614216e-05,0.8429133892059326,0.4617374539375305,0.6556524634361267,9.728616793536588e-05,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,9.728616793536588e-06,,0.0011375080794095993,2.0068077966570854
70,1.6125421524047852,0.01,3.7793511027614216e-05,0.811511218547821,0.3479396402835846,0.45309123396873474,9.521346881455356e-05,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,9.521346881455356e-06,,0.00047435052692890167,2.1131052039563656
80,1.8479375839233398,0.01,0.00014952701987855057,0.8345798254013062,0.37656229734420776,0.6367954611778259,9.259695151358214e-05,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,9.259695151358215e-06,,0.0009052194654941559,2.015166907571256
90,1.6272631883621216,0.01,0.00014952701987855057,0.6578032970428467,0.34993842244148254,0.6195214986801147,8.947199994035401e-05,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,8.947199994035402e-06,,0.0006821444258093834,2.0571375815197825
100,1.5432939529418945,0.02,0.0006549362422029747,0.6691306829452515,0.3842158913612366,0.4899473488330841,8.588087370409303e-05,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,8.588087370409303e-06,0.02124058561665671,0.0007285373285412788,11.61122656147927
