step,mean,max,max_layer,frozen_mean,trainable_mean,secondary_mean,secondary_max,embed_changed_rows,embed_rel_change,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,5.2427198385076835e-17,2.220446049250313e-16,layer_14,5.551115123125783e-17,4.9343245538895844e-17,0.0,0.0,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0
25,0.0008004256959584325,0.0014685421168072477,layer_17,0.00023388552655431407,0.001366965865362551,0.021641904947525076,0.054446435470397736,7,1.1779217159558848e-10,0.00033251426911062865,0.00023313124548018926,0.00016715822236490485,0.00017456093205259204,0.0001883996521473419,0.0002144368450193168,2.1053294663175848e-09,2.1604029676325354e-09,2.8504876237178678e-09,3.1357639818097027e-09,3.6419411930666e-09,5.308675499193782e-09,6.471524649498406e-09,8.374556936807664e-09,1.4440217688260759e-08,2.4498496009606185e-08,0.0014311232075994162,0.0014685421168072477,0.00146608209182153,0.0014610413927569343,0.0014608881932387519,0.0014592281701720777,0.0014571911934402326,0.0014489758987974444,0.0014483684626414028,0.0014470442367296998,0.0014425758792085963,0.0014408586097816034,0.0014370246531006936,0.0014294592500049275,0.0014252141226500648,0.0014101572589167999,0.001402238109702747,0.0014136839757065145,0.0001767629234648016,0.0013785911543910956
50,0.0007382641912052993,0.0016660004490920421,layer_35,0.00022540166474883168,0.001251126717661767,0.02098616059354103,0.05088796096634529,10,6.651401463392477e-10,0.00035630361924776643,0.00025914955403916196,0.0001861312590158981,0.00019628263210347274,0.00021798731991395925,0.00024446403319422494,1.876118815857808e-09,2.044841296289235e-09,2.5413539050944678e-09,2.5695309213702444e-09,2.9111555388539045e-09,3.753121702310125e-09,5.256781565599056e-09,7.250683276005532e-09,1.2900331136656007e-08,2.431130641245005e-08,0.0013161972172662795,0.0012806489154736367,0.0012813645263757278,0.001283130600424509,0.0012833573091471928,0.0012840780108266392,0.0012843812300536994,0.0012855566226303017,0.0012879775961159856,0.0012891842586365554,0.0012907938174115952,0.0012925119860772716,0.0012944352406697446,0.0012982822909294311,0.001303787179255167,0.0013097308817304754,0.0013159035092458193,0.0013016665304615982,0.00016813887882805023,0.0016660004490920421
75,0.0010919936834767855,0.0034555535272444704,layer_35,0.00029234423928356203,0.0018916431276700088,0.016467431628945834,0.04057487280411898,10,9.81453027687674e-10,0.00036419384621511064,0.00026132897175612513,0.00018727061360723773,0.00019680239043096126,0.0002139816461276256,0.00024072243621486855,2.266618448487634e-09,2.3395168025075463e-09,2.9565554449106912e-09,3.188991959390819e-09,3.712051555027074e-09,5.219912946330396e-09,6.879616654131837e-09,9.330717642974662e-09,1.7543925201479738e-08,2.7558785031800426e-08,0.0018859549810215093,0.0019118604250389915,0.0019093602339290694,0.0019103234260107183,0.0019089567262000617,0.0019066517084692647,0.0019072509938353743,0.0019065452248960835,0.0018988385155769283,0.00189998827314386,0.0018994659326349028,0.00190088299425073,0.0019023881379044427,0.0018939546365746018,0.0018924307617412817,0.0018817871967035105,0.0018760600493749058,0.0018873693124132895,0.00021176864715666266,0.0034555535272444704
100,0.0013107870899635567,0.0038595698610001117,layer_35,0.0003394242535141312,0.002282149926412982,0.020407873926230814,0.05156909489602757,10,1.4493703278822743e-09,0.00037278354939074276,0.00026484242377300404,0.00019016670425187066,0.0001978595507311498,0.0002152629913080295,0.0002379842283014577,1.892724310614824e-09,2.037308655111758e-09,2.5798863045878306e-09,2.846940350131888e-09,3.363511691389931e-09,4.673891385031936e-09,6.151975817658695e-09,8.131022077861871e-09,1.441416630498793e-08,2.271192001135347e-08,0.0023340443530585064,0.002296623959092692,0.0022977182384643635,0.00230103405455917,0.0023014423093651315,0.002302867681806098,0.002303443274675021,0.002305978408117859,0.0023106743370440164,0.0023126161739256412,0.00231526625177636,0.002317918862603685,0.002320490028193012,0.002326296820899687,0.0023347949196781403,0.00234408656438323,0.0023517415731462155,0.0023385339894144153,0.00013422532638152074,0.0038595698610001117
125,0.006473012121086776,0.012745844593446631,layer_17,0.0014851472585416525,0.0114608769836319,0.011955308373943327,0.030331790044115015,10,2.0004541203731306e-09,0.0003859895787386991,0.00027483374086667567,0.00019660402070775795,0.00020308033726956776,0.00021433529261172257,0.00024044606022499693,2.483876104797389e-09,2.477266392020283e-09,3.229420508787939e-09,3.2920419723581062e-09,3.7867219360165905e-09,5.1080166763028956e-09,7.125616985348415e-09,9.441643356034035e-09,1.4677678072949618e-08,2.8684624231445355e-08,0.012471436722977458,0.012745844593446631,0.012735816894679064,0.012721113255261707,0.012715248949646707,0.01271790128536654,0.012707678217348972,0.012683246650103452,0.012667208647936579,0.01266167258461759,0.01265330764346384,0.01264681360296993,0.012637331920376638,0.01259836815316584,0.01256910023748603,0.012498632783175756,0.01244591650928728,0.012420184814655455,0.00017929499074897937,0.004036948565083853
150,0.012016874276767262,0.02390462372197577,layer_17,0.002715666500767223,0.0213180820527673,0.020774946804729716,0.052799166117936225,9,2.680060231383772e-09,0.0003706517533383913,0.0002677383035705194,0.00019434196646384017,0.00020331192375167007,0.00022092146015062486,0.0002478646157958453,2.17281415082482e-09,2.259496922896176e-09,2.7454201134702316e-09,2.8546777164351056e-09,3.350525079603983e-09,4.860790880911736e-09,6.446200906395916e-09,8.460242284513697e-09,1.4742137732781657e-08,2.9908743703899177e-08,0.023472465467713866,0.02390462372197577,0.023884198789191236,0.02385647346463937,0.02385453414063743,0.023853319219600766,0.023840676941285555,0.023785529668992833,0.02376749895050001,0.023764793159204767,0.023746983261764498,0.023729398625217724,0.02368910595647611,0.023609119521808775,0.023535814253770715,0.0234050528980565,0.023336056878347056,0.02328387204588722,0.00021244070873593923,0.004570608465694903
175,0.0015575813575641811,0.004526428850950892,layer_35,0.0004067837431051238,0.002708378972023239,0.026043616675037802,0.06415883889547846,9,3.0620826398622124e-09,0.00044351511183493564,0.00032470146356022855,0.0002297760304373897,0.00024230856652551758,0.0002684343496882624,0.0003049503200284187,2.358296780080593e-09,2.448940716881509e-09,2.91090196391508e-09,3.0558365837762835e-09,3.5036467060933774e-09,4.4942545240900245e-09,6.233275784417458e-09,7.983082306317613e-09,1.3575869428628096e-08,2.452468517155637e-08,0.00277928664899052,0.00272906379603699,0.0027303316941856837,0.0027341582568907175,0.002734640419521761,0.0027362409033530044,0.0027368298080228115,0.002739491466047239,0.002745092112622749,0.002747483594509381,0.0027508327832101998,0.0027540671388959215,0.0027569535157231373,0.002763896657948517,0.0027737101013647347,0.0027833947093764966,0.002791258334322033,0.002766648896695423,0.00017936225277759288,0.004526428850950892
200,0.0049439556379171695,0.009558426899835215,layer_21,0.0011472269061101757,0.008740684369724163,0.05301239206122109,0.13372260255523516,9,3.322312450534365e-09,0.00040915196872814974,0.00029946289984328356,0.00021589686064460434,0.00022684242807791133,0.00025062647296481,0.00028510133122572334,2.1519218629251213e-09,2.22511220560051e-09,2.8603395207937865e-09,3.113234336993287e-09,3.805289638947329e-09,4.698452737983416e-09,7.1760667408327095e-09,8.842403698139378e-09,1.6117354117994864e-08,2.528734510676145e-08,0.009415983312534237,0.009546942758444477,0.009545919051215157,0.009545065873159952,0.009551053640599272,0.009558426899835215,0.009553241017661862,0.00954024469097925,0.009552511591252033,0.009555622164248656,0.009556897898086891,0.009555677926671002,0.009549872283564187,0.009545618672502365,0.0095322584413986,0.009509029958749138,0.009491298692891337,0.009418157619436873,0.00019003376601012256,0.004581388466773029
225,0.004953609296212759,0.00965167579885795,layer_17,0.001140528229133359,0.008766690363292159,0.02974376992048418,0.07382397848352651,9,3.4411918960908366e-09,0.00036087173951959706,0.0002540149721234064,0.0001831793350278721,0.00018869234759089082,0.00020204865097706026,0.00022778003043422146,1.8324880501907614e-09,2.025385414938796e-09,2.851323510633108e-09,3.1191512706030267e-09,3.609858856279402e-09,4.316700996653822e-09,5.902430766369093e-09,7.655854394883477e-09,1.2869932564107955e-08,2.2273918154347427e-08,0.009461178792825486,0.00965167579885795,0.009643816009399231,0.009632734371112783,0.009631677487033863,0.009634648539848967,0.009627993537495105,0.00960245287575101,0.009593706077780317,0.009589214296696347,0.009584164649425575,0.009577698661618617,0.009570310243233737,0.009554788132137282,0.009522524894388651,0.009457081575483417,0.009425758322921918,0.009380506112799725,0.00019406167301028177,0.004577289079122027
