step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/head,learning_rate/qwen_vl_interface,learning_rate/qwen_vl_interface. model.model.language_model.embed_ tokens,learning_rate/qwen_vl_interface. model.model.language_model.layers .0,learning_rate/qwen_vl_interface. model.model.language_model.layers .1,learning_rate/qwen_vl_interface. model.model.language_model.layers .10,learning_rate/qwen_vl_interface. model.model.language_model.layers .11,learning_rate/qwen_vl_interface. model.model.language_model.layers .12,learning_rate/qwen_vl_interface. model.model.language_model.layers .13,learning_rate/qwen_vl_interface. model.model.language_model.layers .14,learning_rate/qwen_vl_interface. model.model.language_model.layers .15,learning_rate/qwen_vl_interface. model.model.language_model.layers .16,learning_rate/qwen_vl_interface. model.model.language_model.layers .17,learning_rate/qwen_vl_interface. model.model.language_model.layers .18,learning_rate/qwen_vl_interface. model.model.language_model.layers .19,learning_rate/qwen_vl_interface. model.model.language_model.layers .2,learning_rate/qwen_vl_interface. model.model.language_model.layers .20,learning_rate/qwen_vl_interface. model.model.language_model.layers .21,learning_rate/qwen_vl_interface. model.model.language_model.layers .22,learning_rate/qwen_vl_interface. model.model.language_model.layers .23,learning_rate/qwen_vl_interface. model.model.language_model.layers .24,learning_rate/qwen_vl_interface. model.model.language_model.layers .25,learning_rate/qwen_vl_interface. model.model.language_model.layers .26,learning_rate/qwen_vl_interface. model.model.language_model.layers .27,learning_rate/qwen_vl_interface. model.model.language_model.layers .28,learning_rate/qwen_vl_interface. model.model.language_model.layers .29,learning_rate/qwen_vl_interface. model.model.language_model.layers .3,learning_rate/qwen_vl_interface. model.model.language_model.layers .30,learning_rate/qwen_vl_interface. model.model.language_model.layers .31,learning_rate/qwen_vl_interface. model.model.language_model.layers .32,learning_rate/qwen_vl_interface. model.model.language_model.layers .33,learning_rate/qwen_vl_interface. model.model.language_model.layers .34,learning_rate/qwen_vl_interface. model.model.language_model.layers .35,learning_rate/qwen_vl_interface. model.model.language_model.layers .4,learning_rate/qwen_vl_interface. model.model.language_model.layers .5,learning_rate/qwen_vl_interface. model.model.language_model.layers .6,learning_rate/qwen_vl_interface. model.model.language_model.layers .7,learning_rate/qwen_vl_interface. model.model.language_model.layers .8,learning_rate/qwen_vl_interface. model.model.language_model.layers .9,learning_rate/qwen_vl_interface. model.model.visual,mse_score,timing/data,timing/model
10,2.910393238067627,0.0,5.2427198385076835e-17,1.1424516439437866,0.6847499012947083,1.0831917524337769,3.3333333333333335e-05,3.3333333333333333e-06,8.154155640906076e-09,9.593124283418913e-09,1.1286028568728133e-08,4.872712791458904e-08,5.732603284069299e-08,6.744239157728586e-08,7.934399009092456e-08,9.334587069520536e-08,1.0981867140612395e-07,1.291984369483811e-07,1.519981611157425e-07,1.788213660185206e-07,2.1037807766884776e-07,1.3277680669091924e-08,2.475036207868797e-07,2.9118073033750556e-07,3.425655651029478e-07,4.0301831188582084e-07,4.741391904539069e-07,5.57810812298714e-07,6.562480144690753e-07,7.720564876106769e-07,9.083017501302082e-07,1.068590294270833e-06,1.562080078716697e-08,1.257165052083333e-06,1.479017708333333e-06,1.740020833333333e-06,2.047083333333333e-06,2.408333333333333e-06,2.833333333333333e-06,1.837741269078467e-08,2.16204855185702e-08,2.543586531596494e-08,2.992454743054699e-08,3.520534991829057e-08,4.141805872740068e-08,8.154155640906076e-09,,0.0009438470005989075,2.4637141255661845
20,2.7254676818847656,0.0,5.2427198385076835e-17,1.0976155996322632,0.6605818867683411,0.9672701954841614,6.666666666666667e-05,6.666666666666667e-06,1.6308311281812152e-08,1.9186248566837827e-08,2.2572057137456265e-08,9.745425582917808e-08,1.1465206568138598e-07,1.3488478315457172e-07,1.586879801818491e-07,1.8669174139041072e-07,2.196373428122479e-07,2.583968738967622e-07,3.03996322231485e-07,3.576427320370412e-07,4.207561553376955e-07,2.6555361338183848e-08,4.950072415737594e-07,5.823614606750111e-07,6.851311302058956e-07,8.060366237716417e-07,9.482783809078138e-07,1.115621624597428e-06,1.3124960289381505e-06,1.5441129752213538e-06,1.8166035002604164e-06,2.137180588541666e-06,3.124160157433394e-08,2.514330104166666e-06,2.958035416666666e-06,3.480041666666666e-06,4.094166666666666e-06,4.816666666666666e-06,5.666666666666666e-06,3.675482538156934e-08,4.32409710371404e-08,5.087173063192988e-08,5.984909486109398e-08,7.041069983658114e-08,8.283611745480136e-08,1.6308311281812152e-08,,0.0011874828487634659,2.2464489601552486
30,2.5612785816192627,0.0,0.0008004256959584325,1.067339539527893,0.5713381767272949,0.9226009249687195,0.0001,1e-05,2.446246692271823e-08,2.877937285025674e-08,3.38580857061844e-08,1.4618138374376713e-07,1.7197809852207897e-07,2.023271747318576e-07,2.3803197027277367e-07,2.800376120856161e-07,3.2945601421837185e-07,3.8759531084514336e-07,4.5599448334722756e-07,5.364640980555618e-07,6.311342330065433e-07,3.983304200727577e-08,7.425108623606392e-07,8.735421910125167e-07,1.0276966953088434e-06,1.2090549356574626e-06,1.4224175713617208e-06,1.673432436896142e-06,1.968744043407226e-06,2.3161694628320306e-06,2.7249052503906246e-06,3.2057708828124993e-06,4.6862402361500906e-08,3.7714951562499997e-06,4.4370531249999995e-06,5.220062499999999e-06,6.14125e-06,7.2249999999999994e-06,8.5e-06,5.513223807235401e-08,6.48614565557106e-08,7.630759594789482e-08,8.977364229164098e-08,1.0561604975487173e-07,1.2425417618220205e-07,2.446246692271823e-08,,0.0007800636813044548,2.396124984137714
40,1.872772216796875,0.01,0.0008004256959584325,0.9277739524841309,0.4360153079032898,0.5089828372001648,9.969572609838744e-05,9.969572609838745e-06,2.438803402018179e-08,2.8691804729625638e-08,3.3755064387794865e-08,1.4573659194401872e-07,1.7145481405178673e-07,2.017115459432785e-07,2.3730770110973944e-07,2.7918553071734054e-07,3.284535655498124e-07,3.864159594703675e-07,4.546070111416089e-07,5.348317778136575e-07,6.292138562513618e-07,3.9711840456229264e-08,7.402515955898374e-07,8.708842301056911e-07,1.0245696824772838e-06,1.2053760970320985e-06,1.4180895259201158e-06,1.668340618729548e-06,1.9627536690935857e-06,2.309121963639513e-06,2.7166140748700155e-06,3.1960165586706063e-06,4.671981230144619e-08,3.760019480788949e-06,4.42355233033994e-06,5.204179212164635e-06,6.122563779017218e-06,7.203016210608492e-06,8.474136718362933e-06,5.496448506052493e-08,6.46641000712058e-08,7.607541184847741e-08,8.95004845276205e-08,1.0529468767955351e-07,1.2387610315241592e-07,2.438803402018179e-08,,0.0010438188910484314,2.3480078391730785
50,2.2236223220825195,0.01,0.0007382641912052993,0.9028869867324829,0.48404258489608765,0.8366928696632385,9.878701917609207e-05,9.878701917609208e-06,2.416574188989084e-08,2.843028457634216e-08,3.3447393619226074e-08,1.4440823159083197e-07,1.6989203716568467e-07,1.9987298490080548e-07,2.351446881185947e-07,2.7664080955128794e-07,3.2545977594269164e-07,3.8289385405022547e-07,4.504633577061477e-07,5.299568914189972e-07,6.234786957870555e-07,3.9349874846148325e-08,7.335043479847712e-07,8.629462917467898e-07,1.0152309314668116e-06,1.1943893311374253e-06,1.4051639189852064e-06,1.6531340223355367e-06,1.9448635556888667e-06,2.288074771398667e-06,2.691852672233726e-06,3.1668854967455597e-06,4.6293970407233325e-08,3.725747643230071e-06,4.383232521447142e-06,5.15674414287899e-06,6.0667578151517545e-06,7.137362135472652e-06,8.396896629967825e-06,5.446349459674509e-08,6.407469952558246e-08,7.538199944186171e-08,8.868470522571967e-08,1.0433494732437608e-07,1.2274699685220717e-07,2.416574188989084e-08,0.02326131079878126,0.0006304886192083359,12.022511412389576
60,1.833756923675537,0.01,0.0007382641912052993,0.891243040561676,0.31402644515037537,0.6284874677658081,9.728616793536588e-05,9.728616793536588e-06,2.3798596651568984e-08,2.7998349001845866e-08,3.2939234119818663e-08,1.4221426647920293e-07,1.673109017402387e-07,1.9683635498851613e-07,2.3157218233943077e-07,2.724378615758009e-07,3.205151312656481e-07,3.7707662501840954e-07,4.436195588451878e-07,5.219053633472797e-07,6.14006309820329e-07,3.875204014096314e-08,7.223603644945048e-07,8.498357229347115e-07,9.998067328643666e-07,1.1762432151345489e-06,1.3838155472171165e-06,1.6280182908436664e-06,1.9153156362866665e-06,2.2533125132784312e-06,2.650955897974625e-06,3.1187716446760294e-06,4.559063545995663e-08,3.6691431113835644e-06,4.3166389545688995e-06,5.078398770081058e-06,5.9745867883306565e-06,7.028925633330184e-06,8.2693242745061e-06,5.3636041717596044e-08,6.3101225550113e-08,7.42367359413094e-08,8.733733640154048e-08,1.0274980753122409e-07,1.2088212650732249e-07,2.3798596651568984e-08,,0.0006748149171471596,2.8990885568782687
70,1.681716799736023,0.01,0.0007382641912052993,0.8439486622810364,0.30980321764945984,0.5279649496078491,9.521346881455356e-05,9.521346881455356e-06,2.32915633147328e-08,2.740183919380329e-08,3.223745787506269e-08,1.3918436622355456e-07,1.6374631320418183e-07,1.926427214166845e-07,2.2663849578433474e-07,2.6663352445215855e-07,3.1368649935548057e-07,3.6904294041821246e-07,4.3416816519789706e-07,5.107860767034083e-07,6.009247961216568e-07,3.792642102948553e-08,7.069703483784198e-07,8.317298216216704e-07,9.78505672496083e-07,1.1511831441130386e-06,1.354333110721222e-06,1.5933330714367317e-06,1.8745094958079198e-06,2.205305289185788e-06,2.5944768108068097e-06,3.052325659772717e-06,4.461931885821827e-08,3.590971364438491e-06,4.224672193457049e-06,4.970202580537703e-06,5.84729715357377e-06,6.879173121851493e-06,8.093144849237052e-06,5.24933163037862e-08,6.175684271033672e-08,7.265510907098436e-08,8.547659890704044e-08,1.0056070459651816e-07,1.1830671129002138e-07,2.32915633147328e-08,,0.0008859960362315178,2.3604382816702127
80,1.965163230895996,0.01,0.0010919936834767855,0.8345710039138794,0.4067038297653198,0.7238883376121521,9.259695151358214e-05,9.259695151358215e-06,2.2651498635455468e-08,2.6648821924065255e-08,3.135155520478265e-08,1.353595050270995e-07,1.5924647650246998e-07,1.873487958852588e-07,2.2041034810030447e-07,2.593062918827112e-07,3.050662257443661e-07,3.5890144205219534e-07,4.222369906496417e-07,4.967494007642843e-07,5.844110597226874e-07,3.688418259386195e-08,6.875424232031617e-07,8.088734390625432e-07,9.516158106618156e-07,1.1195480125433125e-06,1.3171153088744852e-06,1.5495474222052768e-06,1.8229969673003256e-06,2.144702314470971e-06,2.5231791934952606e-06,2.968446109994424e-06,4.3393155992778766e-08,3.492289541169911e-06,4.108575930788131e-06,4.833618742103683e-06,5.686610284827863e-06,6.690129746856309e-06,7.870740878654481e-06,5.105077175621031e-08,6.00597314778945e-08,7.065850762105234e-08,8.312765602476747e-08,9.779724238207936e-08,1.1505557927303456e-07,2.2651498635455468e-08,,0.001165051944553852,2.407650745473802
90,1.9377192258834839,0.01,0.0010919936834767855,0.6971363425254822,0.4515407085418701,0.7890421152114868,8.947199994035401e-05,8.947199994035402e-06,2.1887058390503574e-08,2.574948045941597e-08,3.0293506422842316e-08,1.30791407576032e-07,1.5387224420709646e-07,1.8102616965540757e-07,2.1297196430047952e-07,2.5055525211821125e-07,2.9477088484495434e-07,3.467892762881816e-07,4.07987383868449e-07,4.799851574922929e-07,5.646884205791681e-07,3.563941932099097e-08,6.643393183284332e-07,7.815756686216861e-07,9.195007866137485e-07,1.0817656313102922e-06,1.2726654486003438e-06,1.497253468941581e-06,1.7614746693430364e-06,2.0723231404035724e-06,2.438027224004203e-06,2.8682673223578854e-06,4.192872861293055e-08,3.374432143950454e-06,3.969920169353475e-06,4.670494316886441e-06,5.4946991963369905e-06,6.4643519956905766e-06,7.605119994930091e-06,4.932791601521241e-08,5.8032842370838135e-08,6.827393220098603e-08,8.032227317763064e-08,9.44967919736831e-08,1.1117269643962718e-07,2.1887058390503574e-08,,0.0005948152393102646,2.367229009978473
100,1.5744911432266235,0.02,0.0013107870899635567,0.7261528372764587,0.34473270177841187,0.5036056041717529,8.588087370409303e-05,8.588087370409303e-06,2.1008580322805174e-08,2.4715976850359027e-08,2.9077619823951794e-08,1.2554184955188022e-07,1.476962935904473e-07,1.7376034540052622e-07,2.0442393576532498e-07,2.404987479592059e-07,2.829397034814187e-07,3.328702393899043e-07,3.9161204634106396e-07,4.607200545188988e-07,5.420235935516457e-07,3.420896449876682e-08,6.376748159431125e-07,7.502056658154265e-07,8.825949009593254e-07,1.0383469423050887e-06,1.2215846380059867e-06,1.4371583976541019e-06,1.690774585475414e-06,1.989146571147546e-06,2.340172436644172e-06,2.7531440431107904e-06,4.02458405867845e-08,3.2389929918950478e-06,3.8105799904647624e-06,4.48303528289972e-06,5.274159156352612e-06,6.20489312512072e-06,7.299874264847906e-06,4.734804774915823e-08,5.570358558724499e-08,6.553363010264115e-08,7.709838835604843e-08,9.070398630123343e-08,1.0671057211909817e-07,2.1008580322805174e-08,0.01628775575331279,0.0004688212648034096,11.831049731001258
