step,mean,max,max_layer,frozen_mean,trainable_mean,secondary_mean,secondary_max,embed_changed_rows,embed_rel_change,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,5.2427198385076835e-17,2.220446049250313e-16,layer_14,5.551115123125783e-17,4.9343245538895844e-17,0.0,0.0,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
25,6.337277690176803e-05,0.002244858258515947,layer_35,5.551115123125783e-17,0.00012674555380348055,6.023325825923095e-05,0.00044250032129744543,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.4145961069189639e-09,5.61102520002521e-09,8.953722874238679e-09,1.4064148512460406e-08,2.7217729847706096e-08,5.2541682116213906e-08,1.0103650061044078e-07,1.6049284101704586e-07,2.393758941066082e-07,3.370878801645105e-07,5.523316208844165e-07,8.37652792240462e-07,1.3268175635960944e-06,2.0705501327933362e-06,2.998767518858081e-06,3.941251002448354e-06,2.3886543295326135e-05,0.002244858258515947
50,0.0014422544552499588,0.050029335669644515,layer_35,5.551115123125783e-17,0.002884508910499862,0.0042325747186548225,0.02734690645136173,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.219361888184835e-09,3.430246064972664e-08,6.59174239636684e-08,1.3674490695336772e-07,4.111248887994634e-07,1.0995322464735224e-06,2.920927814398233e-06,4.885467811854838e-06,7.770838813980774e-06,1.2066471033689297e-05,2.2400385009113677e-05,3.670761491336716e-05,6.494954771607553e-05,0.00011483586574323468,0.00019093367614575474,0.0002529431897814183,0.0011796598932813929,0.050029335669644515
75,0.004508235497496787,0.15010008482530302,layer_35,5.551115123125783e-17,0.009016470994993519,0.021130914646758873,0.10349667947973706,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,7.76018782566723e-09,1.49348014288897e-07,3.231913205947734e-07,6.243358228186224e-07,2.7035741337888552e-06,7.582888200130533e-06,1.7603762145212976e-05,2.9410880340363654e-05,4.620197054450159e-05,7.127005390172858e-05,0.00012869115445257595,0.0002117829937539062,0.00037432694313555004,0.0006101996367450235,0.0009499391700920068,0.0011634395421761257,0.008582135879613872,0.15010008482530302
100,0.005705317320272068,0.18186281298879936,layer_35,5.551115123125783e-17,0.01141063464054408,0.046942006134188,0.2824385749637629,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.5257934138368512e-08,3.367708657497914e-07,7.583267029875884e-07,1.3766443565099706e-06,6.13351993850042e-06,1.5532011238161836e-05,3.683912229424102e-05,6.17835703196068e-05,9.939111746204432e-05,0.0001496915600329718,0.00026442762176193124,0.00042298006332852633,0.0007592865226115908,0.0011827785980741412,0.0017585325928536344,0.0021008661977034437,0.01666788104351591,0.18186281298879936
125,0.006229913265922405,0.2054900562886094,layer_35,5.551115123125783e-17,0.012459826531844754,0.04412547673769829,0.19236247970960152,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.3857962605511318e-08,4.613971179567855e-07,9.645380253386904e-07,2.1152668556734255e-06,8.253696256232956e-06,2.3157098680504085e-05,5.7861469005993094e-05,9.977562514507099e-05,0.00015237665256251365,0.0002121249992436125,0.00034135467151030774,0.0005331639053682835,0.0009369393467864029,0.0014303615291098026,0.0020312033469528368,0.002309593174600888,0.010647090709412166,0.2054900562886094
150,0.00821712598170331,0.2718654651252892,layer_35,5.551115123125783e-17,0.016434251963406563,0.048422426624445375,0.2226014775812919,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.000605952596658e-08,4.305215588473743e-07,9.464837197326048e-07,1.970335134049428e-06,7.476514028548209e-06,2.2000476157857385e-05,5.796145515213347e-05,0.00010213986895535321,0.0001539256059918115,0.0002115168115974786,0.000344023688109818,0.0005422686031816282,0.0009638343066107335,0.0014719945703445259,0.002102427320572531,0.0024918868187639998,0.015476236830090362,0.2718654651252892
175,0.010793880762478204,0.36761693053030486,layer_35,5.551115123125783e-17,0.021587761524956353,0.042601831947926015,0.19449911040537315,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.913867185900699e-08,5.633560780093916e-07,1.149923183785262e-06,2.3057732903009054e-06,8.880956107182314e-06,2.52711397243921e-05,6.0300856028705496e-05,0.00011440852826394288,0.00017027420825221906,0.00023152945309801165,0.0003755590454027624,0.0005757193088757884,0.0010145489850340583,0.001516214950685546,0.002171049997161778,0.0025225354298771263,0.012172425869173997,0.36761693053030486
200,0.01280497677751621,0.4362030846151784,layer_35,5.551115123125783e-17,0.025609953555032365,0.05687566338716522,0.2985237625854772,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.955298877311719e-08,6.401736801775471e-07,1.3171273897105706e-06,2.4824530845402037e-06,9.316396374248193e-06,2.675399008678081e-05,6.843831607239448e-05,0.00012853794340206282,0.0001902505398716503,0.0002601429555508794,0.0004202375381056056,0.0006406092797694996,0.0011355085527234854,0.0016998351950585633,0.0024248986837360764,0.0028331824359222324,0.014933888241587479,0.4362030846151784
225,0.013148596808817244,0.4480430468263956,layer_35,5.551115123125783e-17,0.026297193617634433,0.0495341340294401,0.2272129917399932,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,3.728925990209575e-08,6.695448875326804e-07,1.3593771377440333e-06,2.59104737243554e-06,9.657371762505917e-06,2.8915023166042886e-05,7.999832777394467e-05,0.0001503254840327095,0.00021960242374974293,0.0002901392899353761,0.00045537862273736796,0.0006794303944586133,0.001205049400188618,0.0018038920338200315,0.0025733387038797684,0.0029775342135296423,0.014828519743332214,0.4480430468263956
