step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/heads,learning_rate/project_layers,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,3.0624804496765137,0.0,5.2427198385076835e-17,1.1481854915618896,0.7498801350593567,1.1644147634506226,3.3333333333333335e-05,3.3333333333333335e-05,3.3333333333333333e-06,,0.4921810980886221,1.2386337919160724
20,2.8545496463775635,0.0,5.2427198385076835e-17,1.1226072311401367,0.5938231348991394,1.1381192207336426,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-06,,0.6870241612195969,1.1061066798865795
30,2.390707015991211,0.0,6.337277690176803e-05,1.0536659955978394,0.4901483952999115,0.8468927145004272,0.0001,0.0001,1e-05,,1.0131107866764069,1.3602586900815368
40,2.0221920013427734,0.01,6.337277690176803e-05,0.9343793988227844,0.4149879515171051,0.6728246212005615,9.967544117161328e-05,9.967544117161328e-05,9.967544117161327e-06,,1.0103017138317227,1.2879888322204351
50,2.02933406829834,0.01,0.0014422544552499588,0.9294710755348206,0.37672001123428345,0.7231430411338806,9.870615378783155e-05,9.870615378783155e-05,9.870615378783155e-06,0.025657164199011668,1.16683154925704,7.021240710280836
60,1.8697078227996826,0.01,0.0014422544552499588,0.8744133710861206,0.3994547724723816,0.59583979845047,9.71052457977236e-05,9.71052457977236e-05,9.710524579772362e-06,,1.2123752823099494,1.4055101927369833
70,1.783768653869629,0.01,0.0014422544552499588,0.8499616980552673,0.36429592967033386,0.5695109963417053,9.48943667355238e-05,9.48943667355238e-05,9.48943667355238e-06,,1.1062301052734256,1.4157984042540193
80,1.8313727378845215,0.01,0.004508235497496787,0.7939884662628174,0.383232057094574,0.6541521549224854,9.210341494782096e-05,9.210341494782096e-05,9.210341494782097e-06,,0.8470075773075223,1.6185664115473628
90,1.4709949493408203,0.01,0.004508235497496787,0.6507372260093689,0.2325398027896881,0.5877178907394409,8.877013326971095e-05,8.877013326971095e-05,8.877013326971095e-06,,1.3100959975272417,2.1222657077014446
100,1.6315462589263916,0.02,0.005705317320272068,0.719809889793396,0.36382099986076355,0.5479153990745544,8.493959861769923e-05,8.493959861769923e-05,8.493959861769923e-06,0.016983627208641598,1.206961433403194,8.287497444078326
110,1.3942034244537354,0.02,0.005705317320272068,0.5716966390609741,0.3574572503566742,0.46504950523376465,8.066361240173374e-05,8.066361240173374e-05,8.066361240173374e-06,,1.2231032261624932,1.3920523785054684
120,1.3974614143371582,0.02,0.005705317320272068,0.577194094657898,0.3034486770629883,0.5168187022209167,7.6e-05,7.6e-05,7.600000000000001e-06,,1.3010126482695341,1.7923288149759173
130,1.2968456745147705,0.02,0.006229913265922405,0.5201903581619263,0.32721275091171265,0.4494425058364868,7.101182876987953e-05,7.101182876987953e-05,7.101182876987953e-06,,1.6168929506093264,1.874371306039393
140,0.9867141246795654,0.02,0.006229913265922405,0.43871626257896423,0.24458715319633484,0.30341073870658875,6.576655517013234e-05,6.576655517013234e-05,6.5766555170132344e-06,,1.705867893062532,1.5854973513633013
150,1.350111722946167,0.02,0.00821712598170331,0.5034626722335815,0.2593690752983093,0.5872799754142761,6.033511252801267e-05,6.033511252801267e-05,6.033511252801267e-06,0.020783000758716037,0.5932778399437666,5.9142845049500465
160,1.144121527671814,0.02,0.00821712598170331,0.4890850782394409,0.28300875425338745,0.372027724981308,5.479095178770284e-05,5.479095178770284e-05,5.479095178770284e-06,,0.7564777005463839,1.0802202885970473
170,1.2943334579467773,0.03,0.00821712598170331,0.57094806432724,0.2660101056098938,0.45737528800964355,4.920904821229716e-05,4.920904821229716e-05,4.920904821229716e-06,,0.6980295171961188,1.1151691805571318
180,1.1438958644866943,0.03,0.010793880762478204,0.41575485467910767,0.270042359828949,0.4580986499786377,4.3664887471987345e-05,4.3664887471987345e-05,4.366488747198735e-06,,0.9227946130558848,1.2956199860200286
190,1.0490455627441406,0.03,0.010793880762478204,0.5040006637573242,0.1934104710817337,0.3516344726085663,3.823344482986768e-05,3.823344482986768e-05,3.8233444829867685e-06,,0.7269018609076738,1.1634001396596432
200,1.0132941007614136,0.03,0.01280497677751621,0.4445759356021881,0.23716045916080475,0.3315576910972595,3.2988171230120465e-05,3.2988171230120465e-05,3.298817123012047e-06,0.016530918223517283,0.7334224795922637,4.817646460607648
210,0.9661400318145752,0.03,0.01280497677751621,0.3604932725429535,0.1957552284002304,0.4098915457725525,2.800000000000001e-05,2.800000000000001e-05,2.800000000000001e-06,,0.5001692585647106,1.280389073304832
220,0.8787899017333984,0.03,0.01280497677751621,0.331320583820343,0.17389582097530365,0.3735734820365906,2.3336387598266272e-05,2.3336387598266272e-05,2.3336387598266276e-06,,0.601093185134232,1.3066744729876518
230,1.0213227272033691,0.04,0.013148596808817244,0.4518592953681946,0.21189998090267181,0.35756340622901917,1.906040138230079e-05,1.906040138230079e-05,1.906040138230079e-06,,0.718306646682322,1.287205258384347
