step,mean,max,max_layer,frozen_mean,trainable_mean,secondary_mean,secondary_max,embed_changed_rows,embed_rel_change,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35
0,5.2427198385076835e-17,2.220446049250313e-16,layer_14,5.551115123125783e-17,4.9343245538895844e-17,0.0,0.0,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
25,8.376302627319562e-06,0.0002778776356986423,layer_35,5.551115123125783e-17,1.6752605254583613e-05,2.1945536612848358e-05,0.0003343108178137655,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,8.874554424664893e-10,3.6733560637713936e-09,6.3984928466709334e-09,1.0104439618352501e-08,1.662194293317043e-08,2.7994211393433943e-08,5.4020019013556464e-08,7.523171696721676e-08,1.0285026530443275e-07,1.3660304587492789e-07,2.1905889369122633e-07,3.2547431982887787e-07,5.361302649609101e-07,7.696823095537653e-07,1.0212164581746563e-06,1.2804583932046754e-06,1.908285329899062e-05,0.0002778776356986423
50,9.953468230527697e-05,0.0033539351878323354,layer_35,5.551115123125783e-17,0.00019906936461049844,0.0003424623792919499,0.0029895126382998294,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.9741249463199892e-09,1.5173940659529705e-08,2.7301243377131357e-08,4.875968717676926e-08,7.763968723484282e-08,1.806931783088217e-07,5.44139401759125e-07,7.698055695115613e-07,1.1934859414086674e-06,1.760810606099561e-06,3.2565765111236544e-06,5.31874061360238e-06,9.572937590518471e-06,1.5652128985799152e-05,2.2951055855036095e-05,2.2682759177827805e-05,0.00014525839304224686,0.0033539351878323354
75,0.00024013001805225302,0.008201445797022866,layer_35,5.551115123125783e-17,0.0004802600361044505,0.0006400926364179672,0.005828791251148546,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,4.380274032378395e-09,2.6737613900706947e-08,5.5906471008171366e-08,8.711811461115104e-08,1.5444671053188586e-07,3.702320290344119e-07,1.0989047264375884e-06,1.665984545429211e-06,2.663099241684286e-06,4.016207245660652e-06,7.610400326707456e-06,1.1915068366064041e-05,2.115495719223759e-05,3.335217302058435e-05,4.769578884766812e-05,4.8770646789431105e-05,0.00026259280134222074,0.008201445797022866
100,0.00030239434491119123,0.00935038298946389,layer_35,5.551115123125783e-17,0.000604788689822327,0.008094244820391885,0.05555992801654419,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,5.0120740890946536e-09,3.552906413517576e-08,7.289758152673187e-08,1.199942601948223e-07,3.4374942159409727e-07,7.595120914416498e-07,1.8760772967363337e-06,3.2721787535106017e-06,5.171463249742381e-06,7.4799676040848695e-06,1.499780172475873e-05,2.6470326648819764e-05,4.9619809121548286e-05,8.435743803014706e-05,0.00013904975365652827,0.00017432042547249615,0.0010278614912866413,0.00935038298946389
125,0.0005973515041125779,0.019511754023779027,layer_35,5.551115123125783e-17,0.0011947030082251004,0.0036067771003305705,0.029550204764195565,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.00967481042602e-08,8.965975062391607e-08,1.832675765589542e-07,2.66973676610327e-07,6.604858741043884e-07,1.3379965149162842e-06,3.861758083423261e-06,6.515373844551142e-06,1.021041609527984e-05,1.4367268277415413e-05,2.371468974804447e-05,3.784639649662136e-05,7.023022417107505e-05,0.00011470314412564964,0.000159537303580648,0.00019364387545417472,0.0013557211942549774,0.019511754023779027
150,0.0008261525519700774,0.02776261812359715,layer_35,5.551115123125783e-17,0.0016523051039400993,0.006641204824470254,0.03820536789343976,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.6616162445970417e-08,1.252850431177066e-07,2.268087315737688e-07,2.741489633084626e-07,8.60934687541004e-07,1.7324207620683651e-06,3.876985060102811e-06,6.177005253626966e-06,9.433628145205653e-06,1.3765464808135341e-05,2.3907125687894215e-05,3.802446912060109e-05,7.125391463602693e-05,0.00011640651322053497,0.00016194767862454107,0.00019655988474143182,0.0013342848636764826,0.02776261812359715
175,0.0006635298353734794,0.02053836313784707,layer_35,5.551115123125783e-17,0.0013270596707469033,0.01760258326893127,0.08382440384352119,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.311359770246213e-08,1.4456435981635707e-07,2.642239567141047e-07,3.457045608667997e-07,1.180377489307105e-06,2.475115706834785e-06,5.667417410371023e-06,9.325394552894828e-06,1.4251538303700073e-05,2.122140764437841e-05,3.953032706494053e-05,6.453442577980528e-05,0.00012296983924153793,0.00020106583259205113,0.00030438066627669347,0.00038617394998508026,0.0021751570370744933,0.02053836313784707
200,0.0007910067115715964,0.02433069239519714,layer_35,5.551115123125783e-17,0.0015820134231431372,0.027070038739323274,0.12775875171107298,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.8936558371661647e-08,1.5806225528436357e-07,2.923721315051253e-07,4.0898795683474987e-07,1.5557017376544025e-06,3.116576834161222e-06,6.417040125272777e-06,1.0998410155504956e-05,1.6763933071706205e-05,2.536818797715945e-05,4.796140695273454e-05,8.065210767105313e-05,0.000160367092384206,0.00025792201781704716,0.00038873047278364936,0.0004849367424074602,0.0026598711725597246,0.02433069239519714
225,0.0008063500726238009,0.024452459059447484,layer_35,5.551115123125783e-17,0.0016127001452475463,0.02531772272379257,0.1208158149278461,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.4165690559740938e-08,1.4289944949563704e-07,2.6456092305782164e-07,4.2196763150315064e-07,1.5487882860654167e-06,3.194014934981837e-06,7.532537973586884e-06,1.253387336341838e-05,1.8897691989483434e-05,2.7855224980832816e-05,5.098930282576575e-05,8.566703426615696e-05,0.00016983525639180375,0.0002747661547014557,0.0004146710907551032,0.0005239265155251305,0.0029838724753199486,0.024452459059447484
