step,action_dit_loss,epoch,lab/drift,learning_rate/action_model,learning_rate/qwen_vl_interface,mse_score,timing/data,timing/model
10,0.9460483193397522,0.0,5.2427198385076835e-17,3.3333333333333335e-05,3.3333333333333333e-06,,0.49939042050391436,0.5529540302231908
20,0.5722760558128357,0.0,5.2427198385076835e-17,6.666666666666667e-05,6.666666666666667e-06,,0.5154441362246871,0.5380122279748321
30,0.5380033850669861,0.0,8.376302627319562e-06,0.0001,1e-05,,0.6614653095602989,0.57392218708992
40,0.44132107496261597,0.01,8.376302627319562e-06,9.967544117161328e-05,9.967544117161327e-06,,1.2506772922351956,1.0799848549067974
50,0.41872256994247437,0.01,9.953468230527697e-05,9.870615378783155e-05,9.870615378783155e-06,0.033999966723578315,1.429246530868113,5.5827808463945985
60,0.38183438777923584,0.01,9.953468230527697e-05,9.71052457977236e-05,9.710524579772362e-06,,1.377651821821928,0.7949962625280023
70,0.35016414523124695,0.01,9.953468230527697e-05,9.48943667355238e-05,9.48943667355238e-06,,1.604662382043898,1.2286227270960808
80,0.3823767602443695,0.01,0.00024013001805225302,9.210341494782096e-05,9.210341494782097e-06,,1.3597331754863262,1.047180482186377
90,0.31661170721054077,0.01,0.00024013001805225302,8.877013326971095e-05,8.877013326971095e-06,,1.365611138753593,0.923997382633388
100,0.3114982545375824,0.02,0.00030239434491119123,8.493959861769923e-05,8.493959861769923e-06,0.013229490390845708,1.735969158820808,7.109183004125953
110,0.2626001238822937,0.02,0.00030239434491119123,8.066361240173374e-05,8.066361240173374e-06,,1.2294784802943468,1.2544190976768732
120,0.26278454065322876,0.02,0.00030239434491119123,7.6e-05,7.600000000000001e-06,,1.0870597008615732,0.8883996531367302
130,0.28227201104164124,0.02,0.0005973515041125779,7.101182876987953e-05,7.101182876987953e-06,,1.1577201522886753,0.9072998240590096
140,0.3250246047973633,0.02,0.0005973515041125779,6.576655517013234e-05,6.5766555170132344e-06,,0.9113462325185537,0.8655964992940426
150,0.28101101517677307,0.02,0.0008261525519700774,6.033511252801267e-05,6.033511252801267e-06,0.022814337696347917,1.0419774875044823,5.550598624162376
160,0.2797829508781433,0.02,0.0008261525519700774,5.479095178770284e-05,5.479095178770284e-06,,1.3079332113265991,0.737920462153852
170,0.2914586067199707,0.03,0.0008261525519700774,4.920904821229716e-05,4.920904821229716e-06,,0.9649242712184787,0.6218678522855043
180,0.22323638200759888,0.03,0.0006635298353734794,4.3664887471987345e-05,4.366488747198735e-06,,0.9511023247614503,0.6651855371892452
190,0.1587744802236557,0.03,0.0006635298353734794,3.823344482986768e-05,3.8233444829867685e-06,,0.4547214135527611,0.5093849450349808
200,0.21667517721652985,0.03,0.0007910067115715964,3.2988171230120465e-05,3.298817123012047e-06,0.016886896320751736,0.4003926832228899,4.34699937235564
210,0.23834900557994843,0.03,0.0007910067115715964,2.800000000000001e-05,2.800000000000001e-06,,0.4902877230197191,0.47586333751678467
220,0.20327776670455933,0.03,0.0007910067115715964,2.3336387598266272e-05,2.3336387598266276e-06,,0.9688554527238011,0.5666688065975904
230,0.23598434031009674,0.04,0.0008063500726238009,1.906040138230079e-05,1.906040138230079e-06,,0.7181746903806925,0.4386226860806346
240,0.18647333979606628,0.04,0.0008063500726238009,1.5229866730289061e-05,1.5229866730289062e-06,,1.4332972150295973,0.7217226848006248
250,0.19187311828136444,0.04,0.0008431642211864684,1.1896585052179059e-05,1.189658505217906e-06,0.015181838401726313,0.9879341870546341,6.014778463169932
260,0.20961692929267883,0.04,0.0008431642211864684,9.105633264476216e-06,9.105633264476216e-07,,1.0823430866003036,0.8067995235323906
270,0.17811721563339233,0.04,0.0008431642211864684,6.8947542022764005e-06,6.8947542022764e-07,,1.2074982644990087,0.8834713846445084
280,0.17801080644130707,0.04,0.0008509499514492425,5.293846212168457e-06,5.293846212168457e-07,,1.380112336948514,1.7010282669216394
290,0.16158366203308105,0.04,0.0008509499514492425,4.324558828386734e-06,4.3245588283867346e-07,,1.2980147283524275,1.1880136178806424
300,0.18617410957813263,0.05,0.0008618480424016054,4e-06,4e-07,0.013535364397934504,1.216272179968655,7.78756208345294
