run_id,backbone,benchmark,data_fraction,seed,status,train_yaml,eval_script,num_gpus,metric_keys,overrides
bb-R0__libero_plus__s0,R0,libero_plus,1,0,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""framework.qwenvl.base_vlm"": ""Qwen/Qwen3-VL-4B-Instruct"", ""run_id"": ""bb-R0__libero_plus__s0"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""0"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000""}"
bb-R0__libero_plus__s1,R0,libero_plus,1,1,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""framework.qwenvl.base_vlm"": ""Qwen/Qwen3-VL-4B-Instruct"", ""run_id"": ""bb-R0__libero_plus__s1"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""1"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000""}"
bb-R0__libero_plus__s2,R0,libero_plus,1,2,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""framework.qwenvl.base_vlm"": ""Qwen/Qwen3-VL-4B-Instruct"", ""run_id"": ""bb-R0__libero_plus__s2"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""2"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000""}"
bb-R1__libero_plus__s0,R1,libero_plus,1,0,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""run_id"": ""bb-R1__libero_plus__s0"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""0"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000"", ""trainer.pretrained_checkpoint"": ""playground/Checkpoints/pretrain_R1/checkpoints/steps_100000_pytorch_model.pt"", ""trainer.reload_modules"": ""qwen_vl_interface""}"
bb-R1__libero_plus__s1,R1,libero_plus,1,1,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""run_id"": ""bb-R1__libero_plus__s1"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""1"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000"", ""trainer.pretrained_checkpoint"": ""playground/Checkpoints/pretrain_R1/checkpoints/steps_100000_pytorch_model.pt"", ""trainer.reload_modules"": ""qwen_vl_interface""}"
bb-R1__libero_plus__s2,R1,libero_plus,1,2,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""run_id"": ""bb-R1__libero_plus__s2"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""2"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000"", ""trainer.pretrained_checkpoint"": ""playground/Checkpoints/pretrain_R1/checkpoints/steps_100000_pytorch_model.pt"", ""trainer.reload_modules"": ""qwen_vl_interface""}"
bb-R2__libero_plus__s0,R2,libero_plus,1,0,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""run_id"": ""bb-R2__libero_plus__s0"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""0"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000"", ""trainer.pretrained_checkpoint"": ""playground/Checkpoints/pretrain_R2/checkpoints/steps_100000_pytorch_model.pt"", ""trainer.reload_modules"": ""qwen_vl_interface""}"
bb-R2__libero_plus__s1,R2,libero_plus,1,1,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""run_id"": ""bb-R2__libero_plus__s1"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""1"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000"", ""trainer.pretrained_checkpoint"": ""playground/Checkpoints/pretrain_R2/checkpoints/steps_100000_pytorch_model.pt"", ""trainer.reload_modules"": ""qwen_vl_interface""}"
bb-R2__libero_plus__s2,R2,libero_plus,1,2,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""run_id"": ""bb-R2__libero_plus__s2"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""2"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000"", ""trainer.pretrained_checkpoint"": ""playground/Checkpoints/pretrain_R2/checkpoints/steps_100000_pytorch_model.pt"", ""trainer.reload_modules"": ""qwen_vl_interface""}"
bb-R3__libero_plus__s0,R3,libero_plus,1,0,planned,examples/simBenchmarks/LIBERO-plus/train_files/starvla_libero_plus.yaml,examples/simBenchmarks/LIBERO-plus/eval_files/run_eval.sh,8,"success_rate,camera,robot,language,light,background,noise,layout","{""datasets.vla_data.per_device_batch_size"": ""16"", ""framework.name"": ""QwenOFT"", ""run_id"": ""bb-R3__libero_plus__s0"", ""run_root_dir"": ""playground/Checkpoints/backbone_bench"", ""seed"": ""0"", ""trainer.freeze_modules"": """", ""trainer.learning_rate.action_model"": ""0.0001"", ""trainer.learning_rate.qwen_vl_interface"": ""1e-05"", ""trainer.max_train_steps"": ""30000"", ""trainer.pretrained_checkpoint"": ""playground/Checkpoints/pretrain_R3/checkpoints/steps_100000_pytorch_model.pt"", ""trainer.reload_modules"": ""qwen_vl_interface""}"
